Fitness,Depth,Nodes,Generations,time_since_the_start_of_the_evolution,seed,genotype_as_str,productions
4.0,3,4,1,0.12157416343688965,19,"Genotype(dna=[97583, 10647, 45801, 87665, 19148, 62801, 52004, 48409, 82725, 14233, 67554, 77757, 63287, 5506, 18979, 71913, 3049, 86467, 63232, 20829, 43731, 63865, 57442, 19774, 35971, 16732, 37014, 43072, 40084, 68130, 63923, 50645, 38148, 80669, 52541, 50698, 87762, 2575, 29786, 72196, 97997, 26469, 47690, 21813, 24837, 1716, 17325, 87742, 80026, 4493, 97505, 38277, 9732, 46031, 68740, 95054, 44767, 63248, 83795, 48484, 69732, 52888, 53261, 59495, 63108, 99017, 9001, 8751, 99330, 76703, 46300, 47658, 20470, 25711, 37777, 19832, 47118, 35810, 67684, 49316, 64721, 44145, 23796, 42997, 46289, 75972, 65765, 4400, 55759, 60556, 36241, 83236, 67154, 85147, 10940, 57957, 10314, 42205, 65118, 4502, 68370, 17464, 80947, 76111, 27881, 47939, 17479, 72034, 81188, 53010, 57642, 34538, 88277, 41308, 23149, 72522, 91426, 70210, 31988, 64023, 86976, 3622, 22486, 98172, 60699, 76290, 27579, 41460, 36588, 99537, 98708, 80695, 40695, 845, 48631, 56797, 16868, 41574, 68189, 17911, 88869, 23076, 73600, 15070, 57946, 96570, 4365, 36083, 46438, 33310, 76358, 39112, 92886, 35940, 34057, 86329, 18319, 72578, 9445, 47799, 80937, 66288, 48040, 1114, 88370, 54840, 39361, 37825, 57610, 23701, 61991, 60210, 29721, 44655, 65393, 37934, 7494, 67610, 31261, 48495, 15652, 47116, 58980, 9043, 89889, 32073, 59642, 60349, 98034, 78292, 19593, 13211, 34463, 96785, 56401, 52521, 89640, 99646, 94267, 56924, 77467, 21596, 99173, 14804, 14485, 44625, 14958, 27590, 44970, 69109, 20222, 88873, 18813, 81024, 50807, 69687, 64748, 39112, 44510, 99737, 31660, 88883, 20453, 60168, 61841, 64954, 85059, 99882, 1924, 70343, 14590, 81866, 85297, 16914, 54232, 81990, 54242, 68550, 5911, 69514, 89180, 12029, 67072, 10435, 72675, 26899, 41285, 71872, 69977, 43188, 93473, 77780, 45227, 23124, 56809, 31499])","{<class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1}"
4.0,3,4,2,0.1796739101409912,19,"Genotype(dna=[97583, 10647, 45801, 87665, 19148, 62801, 52004, 48409, 82725, 14233, 67554, 77757, 63287, 5506, 18979, 71913, 3049, 86467, 63232, 20829, 43731, 63865, 57442, 19774, 35971, 16732, 37014, 43072, 40084, 68130, 63923, 50645, 38148, 80669, 52541, 50698, 87762, 2575, 29786, 72196, 97997, 26469, 47690, 21813, 24837, 1716, 17325, 87742, 80026, 4493, 97505, 38277, 9732, 46031, 68740, 95054, 44767, 63248, 83795, 48484, 69732, 52888, 53261, 59495, 63108, 99017, 9001, 8751, 99330, 76703, 46300, 47658, 20470, 25711, 37777, 19832, 47118, 35810, 67684, 49316, 64721, 44145, 23796, 42997, 46289, 75972, 65765, 4400, 55759, 60556, 36241, 83236, 67154, 85147, 10940, 57957, 10314, 42205, 65118, 4502, 68370, 17464, 80947, 76111, 27881, 47939, 17479, 72034, 81188, 53010, 57642, 34538, 88277, 41308, 23149, 72522, 91426, 70210, 31988, 64023, 86976, 3622, 22486, 98172, 60699, 76290, 27579, 41460, 36588, 99537, 98708, 80695, 40695, 845, 48631, 56797, 16868, 41574, 68189, 17911, 88869, 23076, 73600, 15070, 57946, 96570, 4365, 36083, 46438, 33310, 76358, 39112, 92886, 35940, 34057, 86329, 18319, 72578, 9445, 47799, 80937, 66288, 48040, 1114, 88370, 54840, 39361, 37825, 57610, 23701, 61991, 60210, 29721, 44655, 65393, 37934, 7494, 67610, 31261, 48495, 15652, 47116, 58980, 9043, 89889, 32073, 59642, 60349, 98034, 78292, 19593, 13211, 34463, 96785, 56401, 52521, 89640, 99646, 94267, 56924, 77467, 21596, 99173, 14804, 14485, 44625, 14958, 27590, 44970, 69109, 20222, 88873, 18813, 81024, 50807, 69687, 64748, 39112, 44510, 99737, 31660, 88883, 20453, 60168, 61841, 64954, 85059, 99882, 1924, 70343, 14590, 81866, 85297, 16914, 54232, 81990, 54242, 68550, 5911, 69514, 89180, 12029, 67072, 10435, 72675, 26899, 41285, 71872, 69977, 43188, 93473, 77780, 45227, 23124, 56809, 31499])","{<class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1}"
5.0,4,10,3,0.22777390480041504,19,"Genotype(dna=[68180, 24461, 25164, 51185, 26898, 93439, 86053, 48413, 9814, 36302, 19658, 98705, 3537, 3997, 43184, 97548, 68704, 85091, 25410, 57197, 55152, 41299, 39790, 45283, 32403, 16732, 37014, 43072, 68028, 68130, 63923, 50645, 38148, 80669, 52541, 50698, 87762, 2575, 29786, 72196, 97997, 26469, 47690, 21813, 24837, 1716, 17325, 87742, 80026, 4493, 97505, 38277, 9732, 46031, 68740, 95054, 44767, 63248, 83795, 48484, 69732, 95431, 97317, 59495, 63108, 14219, 71539, 8751, 99330, 10970, 46300, 47658, 20470, 25711, 37777, 19832, 47118, 68221, 67684, 49316, 64721, 44145, 23796, 42997, 46289, 75972, 65765, 4400, 55759, 60556, 36241, 83236, 67154, 85147, 10144, 57957, 10314, 42205, 65118, 4502, 68370, 20195, 5954, 76111, 27881, 47939, 17479, 72034, 81188, 53010, 57642, 34538, 88277, 41308, 23149, 72522, 91426, 70210, 31988, 64023, 50354, 3622, 22486, 98172, 60699, 76290, 27579, 41460, 36588, 99537, 98708, 80695, 40695, 39631, 82109, 25801, 22866, 34622, 33177, 34233, 59317, 65783, 32882, 44831, 85718, 86004, 98096, 24369, 48530, 14834, 31336, 3333, 46671, 55820, 66577, 15184, 84345, 28028, 35104, 36557, 95198, 98014, 1043, 61127, 35759, 71291, 45732, 88164, 48391, 48094, 54343, 18825, 81312, 99228, 42678, 17321, 31220, 17079, 70472, 44560, 49095, 16920, 28576, 44190, 20713, 61790, 76144, 48659, 93088, 65429, 42162, 45900, 93804, 52570, 59220, 96341, 34161, 81451, 74781, 40007, 20875, 32413, 32200, 77378, 75799, 85588, 68892, 5318, 37532, 9428, 88576, 1605, 75258, 29797, 73475, 62237, 34888, 18963, 44190, 66017, 85180, 7378, 79785, 93528, 63477, 48370, 66579, 29661, 86538, 28668, 93979, 19091, 55681, 22740, 18236, 9239, 76433, 13887, 59119, 42706, 60604, 26952, 56543, 79428, 52013, 93238, 60585, 19685, 56667, 69832, 16795, 30907, 65905, 98705, 60767, 15629])","{<class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1}"
5.0,4,10,4,0.27375268936157227,19,"Genotype(dna=[68180, 24461, 25164, 51185, 26898, 93439, 86053, 48413, 9814, 36302, 19658, 98705, 3537, 3997, 43184, 97548, 68704, 85091, 25410, 57197, 55152, 41299, 39790, 45283, 32403, 16732, 37014, 43072, 68028, 68130, 63923, 50645, 38148, 80669, 52541, 50698, 87762, 2575, 29786, 72196, 97997, 26469, 47690, 21813, 24837, 1716, 17325, 87742, 80026, 4493, 97505, 38277, 9732, 46031, 68740, 95054, 44767, 63248, 83795, 48484, 69732, 95431, 97317, 59495, 63108, 14219, 71539, 8751, 99330, 10970, 46300, 47658, 20470, 25711, 37777, 19832, 47118, 68221, 67684, 49316, 64721, 44145, 23796, 42997, 46289, 75972, 65765, 4400, 55759, 60556, 36241, 83236, 67154, 85147, 10144, 57957, 10314, 42205, 65118, 4502, 68370, 20195, 5954, 76111, 27881, 47939, 17479, 72034, 81188, 53010, 57642, 34538, 88277, 41308, 23149, 72522, 91426, 70210, 31988, 64023, 50354, 3622, 22486, 98172, 60699, 76290, 27579, 41460, 36588, 99537, 98708, 80695, 40695, 39631, 82109, 25801, 22866, 34622, 33177, 34233, 59317, 65783, 32882, 44831, 85718, 86004, 98096, 24369, 48530, 14834, 31336, 3333, 46671, 55820, 66577, 15184, 84345, 28028, 35104, 36557, 95198, 98014, 1043, 61127, 35759, 71291, 45732, 88164, 48391, 48094, 54343, 18825, 81312, 99228, 42678, 17321, 31220, 17079, 70472, 44560, 49095, 16920, 28576, 44190, 20713, 61790, 76144, 48659, 93088, 65429, 42162, 45900, 93804, 52570, 59220, 96341, 34161, 81451, 74781, 40007, 20875, 32413, 32200, 77378, 75799, 85588, 68892, 5318, 37532, 9428, 88576, 1605, 75258, 29797, 73475, 62237, 34888, 18963, 44190, 66017, 85180, 7378, 79785, 93528, 63477, 48370, 66579, 29661, 86538, 28668, 93979, 19091, 55681, 22740, 18236, 9239, 76433, 13887, 59119, 42706, 60604, 26952, 56543, 79428, 52013, 93238, 60585, 19685, 56667, 69832, 16795, 30907, 65905, 98705, 60767, 15629])","{<class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1}"
6.0,4,10,5,0.3227567672729492,19,"Genotype(dna=[68180, 24461, 25164, 51185, 26898, 93439, 86053, 48413, 9814, 36302, 74635, 98705, 3537, 3997, 43184, 97548, 68704, 85091, 25410, 57197, 55152, 41299, 39790, 45283, 32403, 16732, 37014, 43072, 68028, 68130, 63923, 50645, 38148, 80669, 52541, 50698, 87762, 2575, 29786, 72196, 97997, 26469, 47690, 21813, 24837, 1716, 17325, 87742, 80026, 4493, 97505, 38277, 31717, 46031, 33049, 95054, 44767, 63248, 83795, 48484, 69732, 95431, 97317, 85684, 63108, 14219, 71539, 8751, 99330, 10970, 46300, 47658, 20470, 25711, 37777, 19832, 47118, 68221, 67684, 49316, 64721, 44145, 23796, 42997, 46289, 75972, 65765, 4400, 55759, 60556, 36241, 83236, 67154, 85147, 10144, 57957, 10314, 42205, 65118, 4502, 68370, 20195, 5954, 76111, 27881, 47939, 17479, 72034, 58036, 53010, 57642, 34538, 88277, 41308, 23149, 72522, 91426, 70210, 31988, 64023, 50354, 3622, 22486, 98172, 60699, 76290, 27579, 41460, 36588, 99537, 98708, 80695, 40695, 39631, 82109, 25801, 22866, 34622, 33177, 34233, 59317, 52141, 32882, 44831, 85718, 86004, 98096, 24369, 48530, 14834, 31336, 3333, 46671, 55820, 66577, 15184, 84345, 50989, 35104, 36557, 95198, 98014, 1043, 61127, 35759, 71291, 45732, 88164, 48391, 48094, 54343, 18825, 81312, 99228, 42678, 17321, 31220, 17079, 70472, 44560, 49095, 16920, 28576, 44190, 20713, 61790, 76144, 48659, 93088, 65711, 42162, 45900, 93804, 52570, 59220, 96341, 34161, 81451, 74781, 40007, 20875, 32413, 32200, 77378, 75799, 85588, 68892, 5318, 37532, 9428, 88576, 23585, 75258, 29797, 73475, 59514, 34888, 18963, 44190, 66017, 85180, 7378, 79785, 93528, 82388, 48370, 66579, 29661, 86538, 28668, 93979, 19091, 55681, 22740, 18236, 9239, 76265, 13887, 99292, 42706, 60604, 26952, 56543, 79428, 52013, 93238, 60585, 19685, 56667, 69832, 16795, 30907, 65905, 98705, 38751, 15629])","{<class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1}"
6.0,4,10,6,0.3661985397338867,19,"Genotype(dna=[68180, 24461, 25164, 51185, 26898, 93439, 86053, 48413, 9814, 36302, 74635, 98705, 3537, 3997, 43184, 97548, 68704, 85091, 25410, 57197, 55152, 41299, 39790, 45283, 32403, 16732, 37014, 43072, 68028, 68130, 63923, 50645, 38148, 80669, 52541, 50698, 87762, 2575, 29786, 72196, 97997, 26469, 47690, 21813, 24837, 1716, 17325, 87742, 80026, 4493, 97505, 38277, 31717, 46031, 33049, 95054, 44767, 63248, 83795, 48484, 69732, 95431, 97317, 85684, 63108, 14219, 71539, 8751, 99330, 10970, 46300, 47658, 20470, 25711, 37777, 19832, 47118, 68221, 67684, 49316, 64721, 44145, 23796, 42997, 46289, 75972, 65765, 4400, 55759, 60556, 36241, 83236, 67154, 85147, 10144, 57957, 10314, 42205, 65118, 4502, 68370, 20195, 5954, 76111, 27881, 47939, 17479, 72034, 58036, 53010, 57642, 34538, 88277, 41308, 23149, 72522, 91426, 70210, 31988, 64023, 50354, 3622, 22486, 98172, 60699, 76290, 27579, 41460, 36588, 99537, 98708, 80695, 40695, 39631, 82109, 25801, 22866, 34622, 33177, 34233, 59317, 52141, 32882, 44831, 85718, 86004, 98096, 24369, 48530, 14834, 31336, 3333, 46671, 55820, 66577, 15184, 84345, 50989, 35104, 36557, 95198, 98014, 1043, 61127, 35759, 71291, 45732, 88164, 48391, 48094, 54343, 18825, 81312, 99228, 42678, 17321, 31220, 17079, 70472, 44560, 49095, 16920, 28576, 44190, 20713, 61790, 76144, 48659, 93088, 65711, 42162, 45900, 93804, 52570, 59220, 96341, 34161, 81451, 74781, 40007, 20875, 32413, 32200, 77378, 75799, 85588, 68892, 5318, 37532, 9428, 88576, 23585, 75258, 29797, 73475, 59514, 34888, 18963, 44190, 66017, 85180, 7378, 79785, 93528, 82388, 48370, 66579, 29661, 86538, 28668, 93979, 19091, 55681, 22740, 18236, 9239, 76265, 13887, 99292, 42706, 60604, 26952, 56543, 79428, 52013, 93238, 60585, 19685, 56667, 69832, 16795, 30907, 65905, 98705, 38751, 15629])","{<class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1}"
7.0,4,9,7,0.4209175109863281,19,"Genotype(dna=[68180, 24461, 25164, 51185, 26898, 93439, 86053, 48413, 9814, 36302, 74635, 98705, 3537, 3997, 43184, 97548, 68704, 85091, 25410, 57197, 55152, 41299, 39790, 45283, 46589, 16732, 37014, 43072, 68028, 68130, 63923, 50645, 97861, 80669, 52541, 50698, 87762, 2575, 29786, 72196, 97997, 26469, 47690, 57255, 24837, 1716, 17325, 87742, 80026, 4493, 97505, 38277, 9732, 46031, 68740, 95054, 44767, 63248, 86988, 48484, 69732, 95431, 97317, 59495, 68960, 14219, 71539, 2029, 99330, 17069, 46300, 47658, 20470, 25711, 37777, 19832, 47118, 68221, 67684, 49316, 64721, 44145, 23796, 42997, 46289, 75972, 47866, 4400, 55759, 60556, 36241, 83236, 67154, 31038, 10144, 57957, 10314, 42205, 65118, 4502, 68370, 20195, 5954, 601, 27881, 47939, 17479, 72034, 81188, 53010, 57642, 34538, 80014, 52096, 23149, 72721, 91426, 70210, 31988, 64023, 50354, 3622, 22486, 98172, 60699, 76290, 27579, 41460, 36588, 99537, 98708, 80695, 40695, 82256, 82109, 25801, 22866, 34622, 33177, 34233, 59317, 25755, 32882, 44831, 86432, 89934, 98096, 24369, 48530, 14834, 31336, 3333, 46671, 55820, 66577, 15184, 84345, 28028, 33173, 47799, 23522, 66288, 48040, 1114, 41079, 54840, 39361, 37825, 57610, 23701, 61991, 60210, 57555, 44655, 43390, 87761, 7494, 67610, 724, 62780, 15652, 47116, 58980, 38474, 89889, 32073, 59642, 60349, 98034, 78292, 19593, 13211, 32217, 13579, 56401, 52521, 89640, 99646, 94267, 56924, 77467, 21596, 99173, 14804, 53285, 46977, 14958, 88387, 44970, 69109, 59457, 88873, 18813, 81024, 5291, 69687, 64748, 55503, 74540, 48905, 50703, 309, 65980, 26915, 68645, 2884, 22623, 99882, 1924, 70343, 14590, 81866, 84868, 16914, 54232, 81990, 54242, 68550, 22034, 69514, 89180, 12029, 67072, 10435, 72675, 46976, 41285, 99655, 69977, 43188, 93473, 77780, 45227, 12622, 56809, 31499])","{<class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1}"
8.0,4,12,8,0.47866392135620117,19,"Genotype(dna=[68180, 24461, 25164, 51185, 26898, 93439, 86053, 48413, 9814, 36302, 74635, 98705, 3537, 3997, 43184, 97548, 68704, 41269, 25410, 57197, 90221, 41299, 39790, 45283, 32403, 16732, 37014, 43072, 68028, 68130, 63923, 50645, 38148, 80669, 52541, 50698, 76116, 73750, 29786, 72196, 97997, 26469, 1128, 22466, 24837, 1716, 17325, 87742, 80026, 4493, 97505, 38277, 31717, 46031, 33049, 95054, 44767, 63248, 83795, 48484, 69732, 95431, 97317, 85684, 63108, 14219, 71539, 8751, 99330, 10970, 46300, 47658, 20470, 65680, 37777, 19832, 47118, 68221, 67684, 49316, 64721, 44145, 23796, 42997, 46289, 75972, 65765, 4400, 55759, 60556, 36241, 83236, 67154, 85147, 10144, 57957, 10314, 42205, 65118, 4502, 68370, 20195, 5954, 23118, 27881, 47939, 88437, 72034, 69735, 53010, 57642, 34538, 88277, 41308, 87265, 72522, 91426, 27600, 31988, 64023, 50354, 3622, 22486, 98172, 60699, 76290, 27579, 41460, 36588, 99537, 98708, 80695, 40695, 39631, 82109, 25801, 22866, 34622, 10350, 34233, 59317, 52141, 32882, 44831, 85718, 86004, 57504, 24369, 48530, 14834, 31336, 3333, 46671, 55820, 66577, 15184, 84345, 50989, 35104, 36557, 95198, 68224, 1043, 61127, 35759, 71291, 45732, 88164, 48391, 19317, 54343, 92710, 81312, 75564, 42678, 17321, 81888, 17079, 70472, 44560, 49095, 16920, 28576, 44190, 20713, 61790, 76144, 48659, 93088, 65711, 42162, 45900, 93804, 52570, 59220, 83836, 34161, 11580, 74781, 40007, 37377, 32413, 32200, 77378, 75799, 85588, 68892, 5318, 37532, 9428, 88576, 23585, 75258, 29797, 73475, 97337, 34888, 18963, 44190, 66017, 85180, 7378, 79785, 93528, 82388, 48370, 66579, 29661, 86538, 28668, 93979, 19091, 55681, 22740, 18236, 9239, 54242, 68550, 55995, 69514, 89180, 12029, 4834, 10435, 72675, 26899, 96638, 19685, 56667, 69832, 16795, 30907, 65905, 98705, 38751, 15629])","{<class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1}"
8.0,4,12,9,0.5347030162811279,19,"Genotype(dna=[68180, 24461, 25164, 51185, 26898, 93439, 86053, 48413, 9814, 36302, 74635, 98705, 3537, 3997, 43184, 97548, 68704, 41269, 25410, 57197, 90221, 41299, 39790, 45283, 32403, 16732, 37014, 43072, 68028, 68130, 63923, 50645, 38148, 80669, 52541, 50698, 76116, 73750, 29786, 72196, 97997, 26469, 1128, 22466, 24837, 1716, 17325, 87742, 80026, 4493, 97505, 38277, 31717, 46031, 33049, 95054, 44767, 63248, 83795, 48484, 69732, 95431, 97317, 85684, 63108, 14219, 71539, 8751, 99330, 10970, 46300, 47658, 20470, 65680, 37777, 19832, 47118, 68221, 67684, 49316, 64721, 44145, 23796, 42997, 46289, 75972, 65765, 4400, 55759, 60556, 36241, 83236, 67154, 85147, 10144, 57957, 10314, 42205, 65118, 4502, 68370, 20195, 5954, 23118, 27881, 47939, 88437, 72034, 69735, 53010, 57642, 34538, 88277, 41308, 87265, 72522, 91426, 27600, 31988, 64023, 50354, 3622, 22486, 98172, 60699, 76290, 27579, 41460, 36588, 99537, 98708, 80695, 40695, 39631, 82109, 25801, 22866, 34622, 10350, 34233, 59317, 52141, 32882, 44831, 85718, 86004, 57504, 24369, 48530, 14834, 31336, 3333, 46671, 55820, 66577, 15184, 84345, 50989, 35104, 36557, 95198, 68224, 1043, 61127, 35759, 71291, 45732, 88164, 48391, 19317, 54343, 92710, 81312, 75564, 42678, 17321, 81888, 17079, 70472, 44560, 49095, 16920, 28576, 44190, 20713, 61790, 76144, 48659, 93088, 65711, 42162, 45900, 93804, 52570, 59220, 83836, 34161, 11580, 74781, 40007, 37377, 32413, 32200, 77378, 75799, 85588, 68892, 5318, 37532, 9428, 88576, 23585, 75258, 29797, 73475, 97337, 34888, 18963, 44190, 66017, 85180, 7378, 79785, 93528, 82388, 48370, 66579, 29661, 86538, 28668, 93979, 19091, 55681, 22740, 18236, 9239, 54242, 68550, 55995, 69514, 89180, 12029, 4834, 10435, 72675, 26899, 96638, 19685, 56667, 69832, 16795, 30907, 65905, 98705, 38751, 15629])","{<class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1}"
8.0,4,12,10,0.590198278427124,19,"Genotype(dna=[68180, 24461, 25164, 51185, 26898, 93439, 86053, 48413, 9814, 36302, 74635, 98705, 3537, 3997, 43184, 97548, 68704, 41269, 25410, 57197, 90221, 41299, 39790, 45283, 32403, 16732, 37014, 43072, 68028, 68130, 63923, 50645, 38148, 80669, 52541, 50698, 76116, 73750, 29786, 72196, 97997, 26469, 1128, 22466, 24837, 1716, 17325, 87742, 80026, 4493, 97505, 38277, 31717, 46031, 33049, 95054, 44767, 63248, 83795, 48484, 69732, 95431, 97317, 85684, 63108, 14219, 71539, 8751, 99330, 10970, 46300, 47658, 20470, 65680, 37777, 19832, 47118, 68221, 67684, 49316, 64721, 44145, 23796, 42997, 46289, 75972, 65765, 4400, 55759, 60556, 36241, 83236, 67154, 85147, 10144, 57957, 10314, 42205, 65118, 4502, 68370, 20195, 5954, 23118, 27881, 47939, 88437, 72034, 69735, 53010, 57642, 34538, 88277, 41308, 87265, 72522, 91426, 27600, 31988, 64023, 50354, 3622, 22486, 98172, 60699, 76290, 27579, 41460, 36588, 99537, 98708, 80695, 40695, 39631, 82109, 25801, 22866, 34622, 10350, 34233, 59317, 52141, 32882, 44831, 85718, 86004, 57504, 24369, 48530, 14834, 31336, 3333, 46671, 55820, 66577, 15184, 84345, 50989, 35104, 36557, 95198, 68224, 1043, 61127, 35759, 71291, 45732, 88164, 48391, 19317, 54343, 92710, 81312, 75564, 42678, 17321, 81888, 17079, 70472, 44560, 49095, 16920, 28576, 44190, 20713, 61790, 76144, 48659, 93088, 65711, 42162, 45900, 93804, 52570, 59220, 83836, 34161, 11580, 74781, 40007, 37377, 32413, 32200, 77378, 75799, 85588, 68892, 5318, 37532, 9428, 88576, 23585, 75258, 29797, 73475, 97337, 34888, 18963, 44190, 66017, 85180, 7378, 79785, 93528, 82388, 48370, 66579, 29661, 86538, 28668, 93979, 19091, 55681, 22740, 18236, 9239, 54242, 68550, 55995, 69514, 89180, 12029, 4834, 10435, 72675, 26899, 96638, 19685, 56667, 69832, 16795, 30907, 65905, 98705, 38751, 15629])","{<class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1}"
