Fitness,Depth,Nodes,Generations,time_since_the_start_of_the_evolution,seed,genotype_as_str,productions
5.0,5,12,1,0.06215023994445801,13,"ActionBlock(actions=[Move(), Left(), Right(), IfFood(yes_food=IfFood(yes_food=IfFood(yes_food=Move(), no_food=Left()), no_food=Right()), no_food=IfFood(yes_food=Left(), no_food=Right())), Move(), Move(), Move(), Move(), Move(), IfFood(yes_food=Left(), no_food=Move()), IfFood(yes_food=Move(), no_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Move(), no_food=Left())))), Move(), Move(), Move(), Left(), Left(), Right(), Move(), Right(), Move(), Move(), IfFood(yes_food=Right(), no_food=Right()), IfFood(yes_food=Right(), no_food=Left())])","{<class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1}"
5.0,5,12,2,0.11542916297912598,13,"ActionBlock(actions=[Move(), Left(), Right(), IfFood(yes_food=IfFood(yes_food=IfFood(yes_food=Move(), no_food=Left()), no_food=Right()), no_food=IfFood(yes_food=Left(), no_food=Right())), Move(), Move(), Move(), Move(), Move(), IfFood(yes_food=Left(), no_food=Move()), IfFood(yes_food=Move(), no_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Move(), no_food=Left())))), Move(), Move(), Move(), Left(), Left(), Right(), Move(), Right(), Move(), Move(), IfFood(yes_food=Right(), no_food=Right()), IfFood(yes_food=Right(), no_food=Left())])","{<class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1}"
5.0,5,12,3,0.192244291305542,13,"ActionBlock(actions=[Move(), Left(), Right(), IfFood(yes_food=IfFood(yes_food=IfFood(yes_food=Move(), no_food=Left()), no_food=Right()), no_food=IfFood(yes_food=Left(), no_food=Right())), Move(), Move(), Move(), Move(), Move(), IfFood(yes_food=Left(), no_food=Move()), IfFood(yes_food=Move(), no_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Move(), no_food=Left())))), Move(), Move(), Move(), Left(), Left(), Right(), Move(), Right(), Move(), Move(), IfFood(yes_food=Right(), no_food=Right()), IfFood(yes_food=Right(), no_food=Left())])","{<class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1}"
5.0,5,12,4,0.243788480758667,13,"ActionBlock(actions=[Move(), Left(), Right(), IfFood(yes_food=IfFood(yes_food=IfFood(yes_food=Move(), no_food=Left()), no_food=Right()), no_food=IfFood(yes_food=Left(), no_food=Right())), Move(), Move(), Move(), Move(), Move(), IfFood(yes_food=Left(), no_food=Move()), IfFood(yes_food=Move(), no_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Move(), no_food=Left())))), Move(), Move(), Move(), Left(), Left(), Right(), Move(), Right(), Move(), Move(), IfFood(yes_food=Right(), no_food=Right()), IfFood(yes_food=Right(), no_food=Left())])","{<class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1}"
5.0,5,12,5,0.2992134094238281,13,"ActionBlock(actions=[Move(), Left(), Right(), IfFood(yes_food=IfFood(yes_food=IfFood(yes_food=Move(), no_food=Left()), no_food=Right()), no_food=IfFood(yes_food=Left(), no_food=Right())), Move(), Move(), Move(), Move(), Move(), IfFood(yes_food=Left(), no_food=Move()), IfFood(yes_food=Move(), no_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Move(), no_food=Left())))), Move(), Move(), Move(), Left(), Left(), Right(), Move(), Right(), Move(), Move(), IfFood(yes_food=Right(), no_food=Right()), IfFood(yes_food=Right(), no_food=Left())])","{<class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1}"
5.0,5,12,6,0.3485853672027588,13,"ActionBlock(actions=[Move(), Left(), Right(), IfFood(yes_food=IfFood(yes_food=IfFood(yes_food=Move(), no_food=Left()), no_food=Right()), no_food=IfFood(yes_food=Left(), no_food=Right())), Move(), Move(), Move(), Move(), Move(), IfFood(yes_food=Left(), no_food=Move()), IfFood(yes_food=Move(), no_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Move(), no_food=Left())))), Move(), Move(), Move(), Left(), Left(), Right(), Move(), Right(), Move(), Move(), IfFood(yes_food=Right(), no_food=Right()), IfFood(yes_food=Right(), no_food=Left())])","{<class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1}"
5.0,5,12,7,0.39934563636779785,13,"ActionBlock(actions=[Move(), Left(), Right(), IfFood(yes_food=IfFood(yes_food=IfFood(yes_food=Move(), no_food=Left()), no_food=Right()), no_food=IfFood(yes_food=Left(), no_food=Right())), Move(), Move(), Move(), Move(), Move(), IfFood(yes_food=Left(), no_food=Move()), IfFood(yes_food=Move(), no_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Move(), no_food=Left())))), Move(), Move(), Move(), Left(), Left(), Right(), Move(), Right(), Move(), Move(), IfFood(yes_food=Right(), no_food=Right()), IfFood(yes_food=Right(), no_food=Left())])","{<class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1}"
5.0,5,12,8,0.4505436420440674,13,"ActionBlock(actions=[Move(), Left(), Right(), IfFood(yes_food=IfFood(yes_food=IfFood(yes_food=Move(), no_food=Left()), no_food=Right()), no_food=IfFood(yes_food=Left(), no_food=Right())), Move(), Move(), Move(), Move(), Move(), IfFood(yes_food=Left(), no_food=Move()), IfFood(yes_food=Move(), no_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Move(), no_food=Left())))), Move(), Move(), Move(), Left(), Left(), Right(), Move(), Right(), Move(), Move(), IfFood(yes_food=Right(), no_food=Right()), IfFood(yes_food=Right(), no_food=Left())])","{<class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1}"
5.0,5,12,9,0.49334120750427246,13,"ActionBlock(actions=[Move(), Left(), Right(), IfFood(yes_food=IfFood(yes_food=IfFood(yes_food=Move(), no_food=Left()), no_food=Right()), no_food=IfFood(yes_food=Left(), no_food=Right())), Move(), Move(), Move(), Move(), Move(), IfFood(yes_food=Left(), no_food=Move()), IfFood(yes_food=Move(), no_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Move(), no_food=Left())))), Move(), Move(), Move(), Left(), Left(), Right(), Move(), Right(), Move(), Move(), IfFood(yes_food=Right(), no_food=Right()), IfFood(yes_food=Right(), no_food=Left())])","{<class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1}"
5.0,5,12,10,0.5264379978179932,13,"ActionBlock(actions=[Move(), Left(), Right(), IfFood(yes_food=IfFood(yes_food=IfFood(yes_food=Move(), no_food=Left()), no_food=Right()), no_food=IfFood(yes_food=Left(), no_food=Right())), Move(), Move(), Move(), Move(), Move(), IfFood(yes_food=Left(), no_food=Move()), IfFood(yes_food=Move(), no_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Move(), no_food=Left())))), Move(), Move(), Move(), Left(), Left(), Right(), Move(), Right(), Move(), Move(), IfFood(yes_food=Right(), no_food=Right()), IfFood(yes_food=Right(), no_food=Left())])","{<class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1}"
