fitness,test_fitness,seed,benchmark_name,genotype,phenotype,prods
9,,0,santafe,"ActionBlock(actions=[Right(), Left(), Move(), IfFood(yes_food=Move(), no_food=Left()), Move(), Right(), Move(), Move(), Move(), Right(), Left(), IfFood(yes_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Right(), no_food=Right())), no_food=Left()), IfFood(yes_food=Right(), no_food=Left()), Left(), IfFood(yes_food=IfFood(yes_food=Left(), no_food=Left()), no_food=IfFood(yes_food=Move(), no_food=Right())), Move(), Left(), Move(), IfFood(yes_food=Right(), no_food=Move()), IfFood(yes_food=Right(), no_food=Right()), Move(), IfFood(yes_food=Left(), no_food=Left()), Move(), Right(), Left(), IfFood(yes_food=Left(), no_food=Left())])","ActionBlock(actions=[Right(), Left(), Move(), IfFood(yes_food=Move(), no_food=Left()), Move(), Right(), Move(), Move(), Move(), Right(), Left(), IfFood(yes_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Right(), no_food=Right())), no_food=Left()), IfFood(yes_food=Right(), no_food=Left()), Left(), IfFood(yes_food=IfFood(yes_food=Left(), no_food=Left()), no_food=IfFood(yes_food=Move(), no_food=Right())), Move(), Left(), Move(), IfFood(yes_food=Right(), no_food=Move()), IfFood(yes_food=Right(), no_food=Right()), Move(), IfFood(yes_food=Left(), no_food=Left()), Move(), Right(), Left(), IfFood(yes_food=Left(), no_food=Left())])","{<class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1}"
8,,1,santafe,"ActionBlock(actions=[Move(), Move(), IfFood(yes_food=Move(), no_food=IfFood(yes_food=IfFood(yes_food=Right(), no_food=Move()), no_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Right(), no_food=Move())))), IfFood(yes_food=IfFood(yes_food=IfFood(yes_food=Move(), no_food=Left()), no_food=Move()), no_food=IfFood(yes_food=Right(), no_food=Right())), Move(), IfFood(yes_food=Move(), no_food=Left()), Move(), IfFood(yes_food=IfFood(yes_food=Left(), no_food=IfFood(yes_food=Left(), no_food=Right())), no_food=IfFood(yes_food=Move(), no_food=Right())), Move(), IfFood(yes_food=Move(), no_food=Move()), Right(), Move(), Move(), Left(), Right(), IfFood(yes_food=Right(), no_food=Right()), IfFood(yes_food=IfFood(yes_food=Move(), no_food=Left()), no_food=Left())])","ActionBlock(actions=[Move(), Move(), IfFood(yes_food=Move(), no_food=IfFood(yes_food=IfFood(yes_food=Right(), no_food=Move()), no_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Right(), no_food=Move())))), IfFood(yes_food=IfFood(yes_food=IfFood(yes_food=Move(), no_food=Left()), no_food=Move()), no_food=IfFood(yes_food=Right(), no_food=Right())), Move(), IfFood(yes_food=Move(), no_food=Left()), Move(), IfFood(yes_food=IfFood(yes_food=Left(), no_food=IfFood(yes_food=Left(), no_food=Right())), no_food=IfFood(yes_food=Move(), no_food=Right())), Move(), IfFood(yes_food=Move(), no_food=Move()), Right(), Move(), Move(), Left(), Right(), IfFood(yes_food=Right(), no_food=Right()), IfFood(yes_food=IfFood(yes_food=Move(), no_food=Left()), no_food=Left())])","{<class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1}"
7,,8,santafe,"ActionBlock(actions=[Left(), Right(), Move(), IfFood(yes_food=Move(), no_food=IfFood(yes_food=Move(), no_food=IfFood(yes_food=IfFood(yes_food=Move(), no_food=Left()), no_food=Right()))), IfFood(yes_food=IfFood(yes_food=Left(), no_food=IfFood(yes_food=Right(), no_food=Move())), no_food=Left()), Right(), Right(), Move(), IfFood(yes_food=Move(), no_food=Left()), IfFood(yes_food=Move(), no_food=Left()), Right(), Move(), IfFood(yes_food=Move(), no_food=Left()), Move(), Left(), IfFood(yes_food=IfFood(yes_food=Right(), no_food=Right()), no_food=IfFood(yes_food=Left(), no_food=Right())), Move(), Move(), Left(), Move(), Move(), Left(), IfFood(yes_food=Right(), no_food=Move())])","ActionBlock(actions=[Left(), Right(), Move(), IfFood(yes_food=Move(), no_food=IfFood(yes_food=Move(), no_food=IfFood(yes_food=IfFood(yes_food=Move(), no_food=Left()), no_food=Right()))), IfFood(yes_food=IfFood(yes_food=Left(), no_food=IfFood(yes_food=Right(), no_food=Move())), no_food=Left()), Right(), Right(), Move(), IfFood(yes_food=Move(), no_food=Left()), IfFood(yes_food=Move(), no_food=Left()), Right(), Move(), IfFood(yes_food=Move(), no_food=Left()), Move(), Left(), IfFood(yes_food=IfFood(yes_food=Right(), no_food=Right()), no_food=IfFood(yes_food=Left(), no_food=Right())), Move(), Move(), Left(), Move(), Move(), Left(), IfFood(yes_food=Right(), no_food=Move())])","{<class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1}"
9,,2,santafe,"ActionBlock(actions=[Move(), Left(), Right(), Left(), Right(), Move(), Right(), IfFood(yes_food=Move(), no_food=Right()), Right(), Move(), Move(), Right(), Left(), IfFood(yes_food=Move(), no_food=Left()), Left(), Left(), Right(), Left(), IfFood(yes_food=Move(), no_food=Left()), Right(), IfFood(yes_food=IfFood(yes_food=IfFood(yes_food=Left(), no_food=Right()), no_food=Left()), no_food=Move()), Move(), Left(), Left(), Right(), IfFood(yes_food=Left(), no_food=Right()), Move(), Move(), IfFood(yes_food=Move(), no_food=Move()), IfFood(yes_food=Move(), no_food=Move())])","ActionBlock(actions=[Move(), Left(), Right(), Left(), Right(), Move(), Right(), IfFood(yes_food=Move(), no_food=Right()), Right(), Move(), Move(), Right(), Left(), IfFood(yes_food=Move(), no_food=Left()), Left(), Left(), Right(), Left(), IfFood(yes_food=Move(), no_food=Left()), Right(), IfFood(yes_food=IfFood(yes_food=IfFood(yes_food=Left(), no_food=Right()), no_food=Left()), no_food=Move()), Move(), Left(), Left(), Right(), IfFood(yes_food=Left(), no_food=Right()), Move(), Move(), IfFood(yes_food=Move(), no_food=Move()), IfFood(yes_food=Move(), no_food=Move())])","{<class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1}"
8,,3,santafe,"ActionBlock(actions=[Right(), IfFood(yes_food=Left(), no_food=Left()), Right(), IfFood(yes_food=Right(), no_food=Right()), IfFood(yes_food=IfFood(yes_food=Left(), no_food=Left()), no_food=Right()), Right(), Left(), Right(), Move(), Move(), IfFood(yes_food=Move(), no_food=Move()), IfFood(yes_food=IfFood(yes_food=Left(), no_food=Left()), no_food=IfFood(yes_food=Left(), no_food=Left())), Left(), Left(), IfFood(yes_food=Move(), no_food=Move()), Move(), Left(), IfFood(yes_food=IfFood(yes_food=Right(), no_food=Left()), no_food=Right()), Move(), Move(), Move(), IfFood(yes_food=IfFood(yes_food=Right(), no_food=Move()), no_food=Move()), Right(), Move(), Move(), Right()])","ActionBlock(actions=[Right(), IfFood(yes_food=Left(), no_food=Left()), Right(), IfFood(yes_food=Right(), no_food=Right()), IfFood(yes_food=IfFood(yes_food=Left(), no_food=Left()), no_food=Right()), Right(), Left(), Right(), Move(), Move(), IfFood(yes_food=Move(), no_food=Move()), IfFood(yes_food=IfFood(yes_food=Left(), no_food=Left()), no_food=IfFood(yes_food=Left(), no_food=Left())), Left(), Left(), IfFood(yes_food=Move(), no_food=Move()), Move(), Left(), IfFood(yes_food=IfFood(yes_food=Right(), no_food=Left()), no_food=Right()), Move(), Move(), Move(), IfFood(yes_food=IfFood(yes_food=Right(), no_food=Move()), no_food=Move()), Right(), Move(), Move(), Right()])","{<class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1}"
8,,7,santafe,"ActionBlock(actions=[Left(), Right(), IfFood(yes_food=Left(), no_food=Right()), Left(), Left(), Right(), Right(), Move(), Left(), IfFood(yes_food=IfFood(yes_food=Right(), no_food=Move()), no_food=IfFood(yes_food=Left(), no_food=Left())), Left(), Move(), Right(), IfFood(yes_food=Move(), no_food=IfFood(yes_food=Right(), no_food=Move())), Left(), IfFood(yes_food=IfFood(yes_food=Move(), no_food=Right()), no_food=IfFood(yes_food=IfFood(yes_food=Left(), no_food=Right()), no_food=Right())), IfFood(yes_food=Move(), no_food=Left()), Right(), Left(), Left(), Left(), IfFood(yes_food=IfFood(yes_food=Right(), no_food=Move()), no_food=Left()), IfFood(yes_food=Move(), no_food=Move()), Move(), Move(), IfFood(yes_food=Move(), no_food=Left()), IfFood(yes_food=Right(), no_food=Left()), Left(), IfFood(yes_food=Move(), no_food=Right()), Right()])","ActionBlock(actions=[Left(), Right(), IfFood(yes_food=Left(), no_food=Right()), Left(), Left(), Right(), Right(), Move(), Left(), IfFood(yes_food=IfFood(yes_food=Right(), no_food=Move()), no_food=IfFood(yes_food=Left(), no_food=Left())), Left(), Move(), Right(), IfFood(yes_food=Move(), no_food=IfFood(yes_food=Right(), no_food=Move())), Left(), IfFood(yes_food=IfFood(yes_food=Move(), no_food=Right()), no_food=IfFood(yes_food=IfFood(yes_food=Left(), no_food=Right()), no_food=Right())), IfFood(yes_food=Move(), no_food=Left()), Right(), Left(), Left(), Left(), IfFood(yes_food=IfFood(yes_food=Right(), no_food=Move()), no_food=Left()), IfFood(yes_food=Move(), no_food=Move()), Move(), Move(), IfFood(yes_food=Move(), no_food=Left()), IfFood(yes_food=Right(), no_food=Left()), Left(), IfFood(yes_food=Move(), no_food=Right()), Right()])","{<class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0}"
7,,10,santafe,"ActionBlock(actions=[IfFood(yes_food=Left(), no_food=Right()), IfFood(yes_food=Move(), no_food=Right()), IfFood(yes_food=IfFood(yes_food=Move(), no_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Right(), no_food=Right()))), no_food=Move()), Left(), IfFood(yes_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Left(), no_food=Right())), no_food=Left()), Right(), Right(), IfFood(yes_food=IfFood(yes_food=Move(), no_food=IfFood(yes_food=Left(), no_food=IfFood(yes_food=Right(), no_food=Right()))), no_food=Right()), Move(), Right(), IfFood(yes_food=Right(), no_food=Move()), IfFood(yes_food=Left(), no_food=Left()), Move(), Move(), Move(), Move(), Right(), Move(), IfFood(yes_food=Right(), no_food=Left()), IfFood(yes_food=Left(), no_food=Right()), IfFood(yes_food=IfFood(yes_food=Left(), no_food=Left()), no_food=Left()), Right(), Left(), IfFood(yes_food=Right(), no_food=Move()), Right(), IfFood(yes_food=Right(), no_food=IfFood(yes_food=Right(), no_food=Left())), Move()])","ActionBlock(actions=[IfFood(yes_food=Left(), no_food=Right()), IfFood(yes_food=Move(), no_food=Right()), IfFood(yes_food=IfFood(yes_food=Move(), no_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Right(), no_food=Right()))), no_food=Move()), Left(), IfFood(yes_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Left(), no_food=Right())), no_food=Left()), Right(), Right(), IfFood(yes_food=IfFood(yes_food=Move(), no_food=IfFood(yes_food=Left(), no_food=IfFood(yes_food=Right(), no_food=Right()))), no_food=Right()), Move(), Right(), IfFood(yes_food=Right(), no_food=Move()), IfFood(yes_food=Left(), no_food=Left()), Move(), Move(), Move(), Move(), Right(), Move(), IfFood(yes_food=Right(), no_food=Left()), IfFood(yes_food=Left(), no_food=Right()), IfFood(yes_food=IfFood(yes_food=Left(), no_food=Left()), no_food=Left()), Right(), Left(), IfFood(yes_food=Right(), no_food=Move()), Right(), IfFood(yes_food=Right(), no_food=IfFood(yes_food=Right(), no_food=Left())), Move()])","{<class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0}"
7,,11,santafe,"ActionBlock(actions=[Move(), Move(), Move(), Move(), Move(), Left(), Move(), IfFood(yes_food=Left(), no_food=Left()), Right(), Move(), Left(), Move(), Move(), Move(), Move(), Left(), IfFood(yes_food=Right(), no_food=Right()), IfFood(yes_food=IfFood(yes_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Left(), no_food=Right())), no_food=Right()), no_food=IfFood(yes_food=Right(), no_food=Move())), Move(), Left(), Right(), Right(), Right(), Move(), Move()])","ActionBlock(actions=[Move(), Move(), Move(), Move(), Move(), Left(), Move(), IfFood(yes_food=Left(), no_food=Left()), Right(), Move(), Left(), Move(), Move(), Move(), Move(), Left(), IfFood(yes_food=Right(), no_food=Right()), IfFood(yes_food=IfFood(yes_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Left(), no_food=Right())), no_food=Right()), no_food=IfFood(yes_food=Right(), no_food=Move())), Move(), Left(), Right(), Right(), Right(), Move(), Move()])","{<class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0}"
9,,6,santafe,"ActionBlock(actions=[IfFood(yes_food=Move(), no_food=Move()), Right(), IfFood(yes_food=Move(), no_food=IfFood(yes_food=Left(), no_food=Left())), Move(), IfFood(yes_food=IfFood(yes_food=Move(), no_food=Left()), no_food=Right()), Right(), Right(), Right(), IfFood(yes_food=Right(), no_food=Move()), IfFood(yes_food=Move(), no_food=Move()), Right(), Left(), IfFood(yes_food=Right(), no_food=IfFood(yes_food=Right(), no_food=Right())), Left(), Left(), Move(), IfFood(yes_food=Left(), no_food=Right()), Move(), IfFood(yes_food=Right(), no_food=Move()), Left(), IfFood(yes_food=Left(), no_food=Right()), IfFood(yes_food=IfFood(yes_food=Move(), no_food=Right()), no_food=Right()), Move(), Right(), Move(), Right(), IfFood(yes_food=IfFood(yes_food=Left(), no_food=Move()), no_food=IfFood(yes_food=IfFood(yes_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=IfFood(yes_food=Left(), no_food=IfFood(yes_food=Left(), no_food=Move())), no_food=Left())), no_food=IfFood(yes_food=Move(), no_food=Left())), no_food=IfFood(yes_food=Move(), no_food=Left()))), Move(), IfFood(yes_food=Move(), no_food=Move()), Move()])","ActionBlock(actions=[IfFood(yes_food=Move(), no_food=Move()), Right(), IfFood(yes_food=Move(), no_food=IfFood(yes_food=Left(), no_food=Left())), Move(), IfFood(yes_food=IfFood(yes_food=Move(), no_food=Left()), no_food=Right()), Right(), Right(), Right(), IfFood(yes_food=Right(), no_food=Move()), IfFood(yes_food=Move(), no_food=Move()), Right(), Left(), IfFood(yes_food=Right(), no_food=IfFood(yes_food=Right(), no_food=Right())), Left(), Left(), Move(), IfFood(yes_food=Left(), no_food=Right()), Move(), IfFood(yes_food=Right(), no_food=Move()), Left(), IfFood(yes_food=Left(), no_food=Right()), IfFood(yes_food=IfFood(yes_food=Move(), no_food=Right()), no_food=Right()), Move(), Right(), Move(), Right(), IfFood(yes_food=IfFood(yes_food=Left(), no_food=Move()), no_food=IfFood(yes_food=IfFood(yes_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=IfFood(yes_food=Left(), no_food=IfFood(yes_food=Left(), no_food=Move())), no_food=Left())), no_food=IfFood(yes_food=Move(), no_food=Left())), no_food=IfFood(yes_food=Move(), no_food=Left()))), Move(), IfFood(yes_food=Move(), no_food=Move()), Move()])","{<class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1}"
11,,4,santafe,"ActionBlock(actions=[Move(), Move(), Move(), IfFood(yes_food=IfFood(yes_food=Move(), no_food=Left()), no_food=Right()), IfFood(yes_food=Move(), no_food=Move()), Move(), Move(), Move(), Move(), Right(), Left(), Move(), Left(), Move(), Left(), Move(), IfFood(yes_food=IfFood(yes_food=Left(), no_food=Right()), no_food=IfFood(yes_food=IfFood(yes_food=Left(), no_food=Move()), no_food=Right())), Move(), Right(), IfFood(yes_food=Move(), no_food=Left()), IfFood(yes_food=Move(), no_food=Right())])","ActionBlock(actions=[Move(), Move(), Move(), IfFood(yes_food=IfFood(yes_food=Move(), no_food=Left()), no_food=Right()), IfFood(yes_food=Move(), no_food=Move()), Move(), Move(), Move(), Move(), Right(), Left(), Move(), Left(), Move(), Left(), Move(), IfFood(yes_food=IfFood(yes_food=Left(), no_food=Right()), no_food=IfFood(yes_food=IfFood(yes_food=Left(), no_food=Move()), no_food=Right())), Move(), Right(), IfFood(yes_food=Move(), no_food=Left()), IfFood(yes_food=Move(), no_food=Right())])","{<class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1}"
