Fitness,Depth,Nodes,Generations,time_since_the_start_of_the_evolution,seed,genotype_as_str
335.0,7,624,1,8.635891199111938,163,"Genotype(dna=[75095, 22194, 26445, 88245, 25693, 2031, 81774, 87205, 82161, 59778, 5412, 75857, 72453, 43096, 44129, 93009, 92602, 30422, 28222, 79400, 43224, 91620, 80372, 30069, 3506, 23215, 64272, 33692, 33078, 23632, 14472, 93639, 63544, 98706, 86360, 85669, 56367, 56803, 2997, 71343, 81549, 44959, 71818, 15623, 65704, 57517, 33046, 8293, 29126, 1117, 24108, 36129, 58036, 38191, 31609, 18812, 72336, 91146, 52093, 80088, 51515, 89663, 42967, 35054, 98364, 62380, 57829, 97613, 3913, 5982, 67309, 68829, 2450, 76434, 696, 212, 35187, 5556, 54177, 27849, 5257, 92959, 74995, 24778, 86275, 39514, 88418, 53945, 35305, 77158, 62078, 64649, 30240, 13012, 93570, 90563, 25742, 82740, 95097, 10907, 69521, 89539, 85727, 8197, 22370, 12565, 99432, 97974, 70892, 17134, 62949, 15850, 61377, 96749, 57320, 63260, 88284, 11330, 27436, 18350, 64841, 14947, 77100, 15782, 93538, 40030, 57815, 80531, 25699, 80112, 81007, 79659, 75853, 24695, 42856, 17858, 17933, 14452, 50767, 45286, 80099, 59539, 49785, 91960, 27138, 38198, 80567, 97056, 99861, 97820, 83777, 45183, 43195, 42486, 16556, 14066, 43990, 55526, 56461, 46018, 94595, 90215, 75468, 8489, 43361, 54522, 22866, 61676, 51406, 49373, 73832, 1187, 20046, 14283, 72505, 87867, 18586, 20264, 61322, 64901, 25764, 43836, 89038, 71072, 41100, 50199, 88931, 11461, 32145, 4816, 57742, 32474, 21219, 48678, 97122, 12931, 23613, 23094, 75282, 4590, 88601, 55354, 61152, 40107, 46181, 11471, 94037, 59281, 73904, 31319, 91705, 36942, 24124, 30399, 18624, 71667, 29735, 68627, 71250, 67398, 80788, 13481, 28263, 67875, 85274, 67449, 6671, 90176, 16608, 58417, 10746, 44888, 48570, 80400, 43653, 40233, 12177, 31424, 98720, 90878, 44645, 82088, 86716, 5675, 95508, 76721, 60347, 28982, 12966, 10693, 18442, 71333, 32142, 13011, 61064, 91697])"
335.0,7,624,2,12.985891580581665,163,"Genotype(dna=[75095, 22194, 26445, 88245, 25693, 2031, 81774, 87205, 82161, 59778, 5412, 75857, 72453, 43096, 44129, 93009, 92602, 30422, 28222, 79400, 43224, 91620, 80372, 30069, 3506, 23215, 64272, 33692, 33078, 23632, 14472, 93639, 63544, 98706, 86360, 85669, 56367, 56803, 2997, 71343, 81549, 44959, 71818, 15623, 65704, 57517, 33046, 8293, 29126, 1117, 24108, 36129, 58036, 38191, 31609, 18812, 72336, 91146, 52093, 80088, 51515, 89663, 42967, 35054, 98364, 62380, 57829, 97613, 3913, 5982, 67309, 68829, 2450, 76434, 696, 212, 35187, 5556, 54177, 27849, 5257, 92959, 74995, 24778, 86275, 39514, 88418, 53945, 35305, 77158, 62078, 64649, 30240, 13012, 93570, 90563, 25742, 82740, 95097, 10907, 69521, 89539, 85727, 8197, 22370, 12565, 99432, 97974, 70892, 17134, 62949, 15850, 61377, 96749, 57320, 63260, 88284, 11330, 27436, 18350, 64841, 14947, 77100, 15782, 93538, 40030, 57815, 80531, 25699, 80112, 81007, 79659, 75853, 24695, 42856, 17858, 17933, 14452, 50767, 45286, 80099, 59539, 49785, 91960, 27138, 38198, 80567, 97056, 99861, 97820, 83777, 45183, 43195, 42486, 16556, 14066, 43990, 55526, 56461, 46018, 94595, 90215, 75468, 8489, 43361, 54522, 22866, 61676, 51406, 49373, 73832, 1187, 20046, 14283, 72505, 87867, 18586, 20264, 61322, 64901, 25764, 43836, 89038, 71072, 41100, 50199, 88931, 11461, 32145, 4816, 57742, 32474, 21219, 48678, 97122, 12931, 23613, 23094, 75282, 4590, 88601, 55354, 61152, 40107, 46181, 11471, 94037, 59281, 73904, 31319, 91705, 36942, 24124, 30399, 18624, 71667, 29735, 68627, 71250, 67398, 80788, 13481, 28263, 67875, 85274, 67449, 6671, 90176, 16608, 58417, 10746, 44888, 48570, 80400, 43653, 40233, 12177, 31424, 98720, 90878, 44645, 82088, 86716, 5675, 95508, 76721, 60347, 28982, 12966, 10693, 18442, 71333, 32142, 13011, 61064, 91697])"
234.0,7,611,3,16.01781439781189,163,"Genotype(dna=[75095, 22194, 26445, 88245, 25693, 2031, 81774, 87205, 82161, 59778, 5412, 75857, 72453, 43096, 44129, 93009, 92602, 30422, 28222, 79400, 43224, 91620, 80372, 30069, 3506, 23215, 64272, 33692, 33078, 23632, 14472, 93639, 63544, 98706, 86360, 85669, 56367, 56803, 2997, 71343, 81549, 44959, 71818, 4280, 35054, 5757, 65875, 24951, 49377, 3635, 63069, 89882, 44288, 43887, 60951, 96452, 32806, 86264, 26205, 86241, 34826, 2787, 37429, 28638, 61474, 85467, 13425, 36093, 3029, 22836, 2009, 87245, 93604, 82370, 59123, 22498, 57692, 91091, 3636, 24182, 71474, 98633, 81760, 86669, 6780, 83401, 31385, 39804, 69373, 72839, 11547, 37408, 37962, 33438, 17706, 83601, 16988, 11307, 96402, 21663, 26685, 33449, 93485, 39440, 40968, 12550, 69926, 63469, 3471, 47518, 48005, 11700, 63539, 34535, 29760, 67795, 40479, 87591, 90693, 58054, 38443, 76387, 43897, 40192, 71953, 14130, 32461, 49603, 38848, 90888, 11062, 94674, 68061, 70299, 84508, 88425, 93408, 16608, 61482, 40816, 90308, 31538, 19779, 99233, 60147, 37626, 45739, 79419, 81085, 78618, 69921, 39615, 56078, 1538, 9816, 88727, 283, 10856, 75237, 51457, 61565, 78883, 90274, 31905, 78443, 37169, 49588, 28840, 44075, 26726, 93610, 40972, 34136, 24124, 93662, 46787, 86519, 66736, 78255, 96994, 23537, 57487, 87513, 36101, 58331, 90334, 73610, 16191, 47342, 63297, 79072, 6775, 40789, 17746, 26917, 8276, 40279, 16741, 47395, 50285, 61358, 23803, 44365, 71476, 46580, 24816, 48262, 80768, 10229, 17739, 84645, 20924, 81547, 47243, 46456, 46395, 40494, 62505, 97096, 80505, 30225, 55743, 41357, 87481, 27864, 35673, 37919, 44805, 72021, 39257, 22834, 40348, 71504, 45280, 97084, 13977, 51363, 46619, 62521, 36771, 54015, 57137, 40108, 69192, 55234, 96782, 68554, 18638, 11108, 76362, 47094, 1188, 61033, 45346, 70239, 87044])"
234.0,7,611,4,18.760068655014038,163,"Genotype(dna=[75095, 22194, 26445, 88245, 25693, 2031, 81774, 87205, 82161, 59778, 5412, 75857, 72453, 43096, 44129, 93009, 92602, 30422, 28222, 79400, 43224, 91620, 80372, 30069, 3506, 23215, 64272, 33692, 33078, 23632, 14472, 93639, 63544, 98706, 86360, 85669, 56367, 56803, 2997, 71343, 81549, 44959, 71818, 4280, 35054, 5757, 65875, 24951, 49377, 3635, 63069, 89882, 44288, 43887, 60951, 96452, 32806, 86264, 26205, 86241, 34826, 2787, 37429, 28638, 61474, 85467, 13425, 36093, 3029, 22836, 2009, 87245, 93604, 82370, 59123, 22498, 57692, 91091, 3636, 24182, 71474, 98633, 81760, 86669, 6780, 83401, 31385, 39804, 69373, 72839, 11547, 37408, 37962, 33438, 17706, 83601, 16988, 11307, 96402, 21663, 26685, 33449, 93485, 39440, 40968, 12550, 69926, 63469, 3471, 47518, 48005, 11700, 63539, 34535, 29760, 67795, 40479, 87591, 90693, 58054, 38443, 76387, 43897, 40192, 71953, 14130, 32461, 49603, 38848, 90888, 11062, 94674, 68061, 70299, 84508, 88425, 93408, 16608, 61482, 40816, 90308, 31538, 19779, 99233, 60147, 37626, 45739, 79419, 81085, 78618, 69921, 39615, 56078, 1538, 9816, 88727, 283, 10856, 75237, 51457, 61565, 78883, 90274, 31905, 78443, 37169, 49588, 28840, 44075, 26726, 93610, 40972, 34136, 24124, 93662, 46787, 86519, 66736, 78255, 96994, 23537, 57487, 87513, 36101, 58331, 90334, 73610, 16191, 47342, 63297, 79072, 6775, 40789, 17746, 26917, 8276, 40279, 16741, 47395, 50285, 61358, 23803, 44365, 71476, 46580, 24816, 48262, 80768, 10229, 17739, 84645, 20924, 81547, 47243, 46456, 46395, 40494, 62505, 97096, 80505, 30225, 55743, 41357, 87481, 27864, 35673, 37919, 44805, 72021, 39257, 22834, 40348, 71504, 45280, 97084, 13977, 51363, 46619, 62521, 36771, 54015, 57137, 40108, 69192, 55234, 96782, 68554, 18638, 11108, 76362, 47094, 1188, 61033, 45346, 70239, 87044])"
234.0,7,611,5,21.32411003112793,163,"Genotype(dna=[75095, 22194, 26445, 88245, 25693, 2031, 81774, 87205, 82161, 59778, 5412, 75857, 72453, 43096, 44129, 93009, 92602, 30422, 28222, 79400, 43224, 91620, 80372, 30069, 3506, 23215, 64272, 33692, 33078, 23632, 14472, 93639, 63544, 98706, 86360, 85669, 56367, 56803, 2997, 71343, 81549, 44959, 71818, 4280, 35054, 5757, 65875, 24951, 49377, 3635, 63069, 89882, 44288, 43887, 60951, 96452, 32806, 86264, 26205, 86241, 34826, 2787, 37429, 28638, 61474, 85467, 13425, 36093, 3029, 22836, 2009, 87245, 93604, 82370, 59123, 22498, 57692, 91091, 3636, 24182, 71474, 98633, 81760, 86669, 6780, 83401, 31385, 39804, 69373, 72839, 11547, 37408, 37962, 33438, 17706, 83601, 16988, 11307, 96402, 21663, 26685, 33449, 93485, 39440, 40968, 12550, 69926, 63469, 3471, 47518, 48005, 11700, 63539, 34535, 29760, 67795, 40479, 87591, 90693, 58054, 38443, 76387, 43897, 40192, 71953, 14130, 32461, 49603, 38848, 90888, 11062, 94674, 68061, 70299, 84508, 88425, 93408, 16608, 61482, 40816, 90308, 31538, 19779, 99233, 60147, 37626, 45739, 79419, 81085, 78618, 69921, 39615, 56078, 1538, 9816, 88727, 283, 10856, 75237, 51457, 61565, 78883, 90274, 31905, 78443, 37169, 49588, 28840, 44075, 26726, 93610, 40972, 34136, 24124, 93662, 46787, 86519, 66736, 78255, 96994, 23537, 57487, 87513, 36101, 58331, 90334, 73610, 16191, 47342, 63297, 79072, 6775, 40789, 17746, 26917, 8276, 40279, 16741, 47395, 50285, 61358, 23803, 44365, 71476, 46580, 24816, 48262, 80768, 10229, 17739, 84645, 20924, 81547, 47243, 46456, 46395, 40494, 62505, 97096, 80505, 30225, 55743, 41357, 87481, 27864, 35673, 37919, 44805, 72021, 39257, 22834, 40348, 71504, 45280, 97084, 13977, 51363, 46619, 62521, 36771, 54015, 57137, 40108, 69192, 55234, 96782, 68554, 18638, 11108, 76362, 47094, 1188, 61033, 45346, 70239, 87044])"
225.0,7,652,6,24.414650440216064,163,"Genotype(dna=[75095, 22194, 26445, 88245, 25693, 2031, 81774, 87205, 82161, 59778, 5412, 75857, 72453, 43096, 44129, 93009, 92602, 30422, 28222, 79400, 43224, 91620, 80372, 30069, 3506, 23215, 64272, 28821, 33078, 23632, 14472, 93639, 63544, 98706, 86360, 85669, 56367, 56803, 2997, 71343, 81549, 44959, 71818, 15623, 65704, 57517, 33046, 8293, 29126, 1117, 24108, 36129, 58036, 38191, 31609, 18812, 72336, 91146, 52093, 80088, 51515, 89663, 42967, 35054, 98364, 62380, 57829, 97613, 3913, 5982, 67309, 68829, 2450, 76434, 696, 212, 35187, 5556, 54177, 27849, 5257, 92959, 74995, 24778, 86275, 39514, 88418, 53945, 35305, 77158, 62078, 64649, 30240, 13012, 93570, 90563, 25742, 82740, 95097, 10907, 69521, 89539, 85727, 8197, 22370, 12565, 99432, 97974, 70892, 17134, 62949, 15850, 61377, 96749, 57320, 63260, 88284, 11330, 27436, 18350, 64841, 14947, 77100, 15782, 93538, 40030, 57815, 80531, 25699, 80112, 81007, 79659, 75853, 24695, 42856, 17858, 17933, 14452, 50767, 45286, 80099, 59539, 49785, 91960, 27138, 38198, 80567, 97056, 99861, 97820, 83777, 45183, 43195, 42486, 16556, 14066, 43990, 55526, 56461, 46018, 94595, 90215, 75468, 8489, 43361, 54522, 22866, 61676, 51406, 49373, 73832, 1187, 20046, 14283, 72505, 87867, 18586, 20264, 61322, 64901, 25764, 43836, 89038, 71072, 41100, 50199, 88931, 11461, 32145, 4816, 57742, 32474, 21219, 48678, 97122, 12931, 23613, 23094, 75282, 4590, 88601, 55354, 61152, 40107, 46181, 11471, 94037, 59281, 73904, 31319, 16176, 63097, 87202, 87694, 92562, 60302, 60872, 15637, 81273, 62255, 14481, 44505, 65618, 58067, 78221, 74425, 90699, 77368, 18564, 47555, 8193, 15419, 73923, 54253, 85192, 52544, 56133, 65501, 81203, 54671, 52085, 41967, 38267, 76890, 66342, 45388, 93708, 96833, 91574, 31088, 76971, 39953, 11633, 41840, 16432, 46267])"
225.0,7,652,7,27.93344521522522,163,"Genotype(dna=[75095, 22194, 26445, 88245, 25693, 2031, 81774, 87205, 82161, 59778, 5412, 75857, 72453, 43096, 44129, 93009, 92602, 30422, 28222, 79400, 43224, 91620, 80372, 30069, 3506, 23215, 64272, 28821, 33078, 23632, 14472, 93639, 63544, 98706, 86360, 85669, 56367, 56803, 2997, 71343, 81549, 44959, 71818, 15623, 65704, 57517, 33046, 8293, 29126, 1117, 24108, 36129, 58036, 38191, 31609, 18812, 72336, 91146, 52093, 80088, 51515, 89663, 42967, 35054, 98364, 62380, 57829, 97613, 3913, 5982, 67309, 68829, 2450, 76434, 696, 212, 35187, 5556, 54177, 27849, 5257, 92959, 74995, 24778, 86275, 39514, 88418, 53945, 35305, 77158, 62078, 64649, 30240, 13012, 93570, 90563, 25742, 82740, 95097, 10907, 69521, 89539, 85727, 8197, 22370, 12565, 99432, 97974, 70892, 17134, 62949, 15850, 61377, 96749, 57320, 63260, 88284, 11330, 27436, 18350, 64841, 14947, 77100, 15782, 93538, 40030, 57815, 80531, 25699, 80112, 81007, 79659, 75853, 24695, 42856, 17858, 17933, 14452, 50767, 45286, 80099, 59539, 49785, 91960, 27138, 38198, 80567, 97056, 99861, 97820, 83777, 45183, 43195, 42486, 16556, 14066, 43990, 55526, 56461, 46018, 94595, 90215, 75468, 8489, 43361, 54522, 22866, 61676, 51406, 49373, 73832, 1187, 20046, 14283, 72505, 87867, 18586, 20264, 61322, 64901, 25764, 43836, 89038, 71072, 41100, 50199, 88931, 11461, 32145, 4816, 57742, 32474, 21219, 48678, 97122, 12931, 23613, 23094, 75282, 4590, 88601, 55354, 61152, 40107, 46181, 11471, 94037, 59281, 73904, 31319, 16176, 63097, 87202, 87694, 92562, 60302, 60872, 15637, 81273, 62255, 14481, 44505, 65618, 58067, 78221, 74425, 90699, 77368, 18564, 47555, 8193, 15419, 73923, 54253, 85192, 52544, 56133, 65501, 81203, 54671, 52085, 41967, 38267, 76890, 66342, 45388, 93708, 96833, 91574, 31088, 76971, 39953, 11633, 41840, 16432, 46267])"
225.0,7,652,8,31.0225772857666,163,"Genotype(dna=[75095, 22194, 26445, 88245, 25693, 2031, 81774, 87205, 82161, 59778, 5412, 75857, 72453, 43096, 44129, 93009, 92602, 30422, 28222, 79400, 43224, 91620, 80372, 30069, 3506, 23215, 64272, 28821, 33078, 23632, 14472, 93639, 63544, 98706, 86360, 85669, 56367, 56803, 2997, 71343, 81549, 44959, 71818, 15623, 65704, 57517, 33046, 8293, 29126, 1117, 24108, 36129, 58036, 38191, 31609, 18812, 72336, 91146, 52093, 80088, 51515, 89663, 42967, 35054, 98364, 62380, 57829, 97613, 3913, 5982, 67309, 68829, 2450, 76434, 696, 212, 35187, 5556, 54177, 27849, 5257, 92959, 74995, 24778, 86275, 39514, 88418, 53945, 35305, 77158, 62078, 64649, 30240, 13012, 93570, 90563, 25742, 82740, 95097, 10907, 69521, 89539, 85727, 8197, 22370, 12565, 99432, 97974, 70892, 17134, 62949, 15850, 61377, 96749, 57320, 63260, 88284, 11330, 27436, 18350, 64841, 14947, 77100, 15782, 93538, 40030, 57815, 80531, 25699, 80112, 81007, 79659, 75853, 24695, 42856, 17858, 17933, 14452, 50767, 45286, 80099, 59539, 49785, 91960, 27138, 38198, 80567, 97056, 99861, 97820, 83777, 45183, 43195, 42486, 16556, 14066, 43990, 55526, 56461, 46018, 94595, 90215, 75468, 8489, 43361, 54522, 22866, 61676, 51406, 49373, 73832, 1187, 20046, 14283, 72505, 87867, 18586, 20264, 61322, 64901, 25764, 43836, 89038, 71072, 41100, 50199, 88931, 11461, 32145, 4816, 57742, 32474, 21219, 48678, 97122, 12931, 23613, 23094, 75282, 4590, 88601, 55354, 61152, 40107, 46181, 11471, 94037, 59281, 73904, 31319, 16176, 63097, 87202, 87694, 92562, 60302, 60872, 15637, 81273, 62255, 14481, 44505, 65618, 58067, 78221, 74425, 90699, 77368, 18564, 47555, 8193, 15419, 73923, 54253, 85192, 52544, 56133, 65501, 81203, 54671, 52085, 41967, 38267, 76890, 66342, 45388, 93708, 96833, 91574, 31088, 76971, 39953, 11633, 41840, 16432, 46267])"
225.0,7,652,9,33.45513558387756,163,"Genotype(dna=[75095, 22194, 26445, 88245, 25693, 2031, 81774, 87205, 82161, 59778, 5412, 75857, 72453, 43096, 44129, 93009, 92602, 30422, 28222, 79400, 43224, 91620, 80372, 30069, 3506, 23215, 64272, 28821, 33078, 23632, 14472, 93639, 63544, 98706, 86360, 85669, 56367, 56803, 2997, 71343, 81549, 44959, 71818, 15623, 65704, 57517, 33046, 8293, 29126, 1117, 24108, 36129, 58036, 38191, 31609, 18812, 72336, 91146, 52093, 80088, 51515, 89663, 42967, 35054, 98364, 62380, 57829, 97613, 3913, 5982, 67309, 68829, 2450, 76434, 696, 212, 35187, 5556, 54177, 27849, 5257, 92959, 74995, 24778, 86275, 39514, 88418, 53945, 35305, 77158, 62078, 64649, 30240, 13012, 93570, 90563, 25742, 82740, 95097, 10907, 69521, 89539, 85727, 8197, 22370, 12565, 99432, 97974, 70892, 17134, 62949, 15850, 61377, 96749, 57320, 63260, 88284, 11330, 27436, 18350, 64841, 14947, 77100, 15782, 93538, 40030, 57815, 80531, 25699, 80112, 81007, 79659, 75853, 24695, 42856, 17858, 17933, 14452, 50767, 45286, 80099, 59539, 49785, 91960, 27138, 38198, 80567, 97056, 99861, 97820, 83777, 45183, 43195, 42486, 16556, 14066, 43990, 55526, 56461, 46018, 94595, 90215, 75468, 8489, 43361, 54522, 22866, 61676, 51406, 49373, 73832, 1187, 20046, 14283, 72505, 87867, 18586, 20264, 61322, 64901, 25764, 43836, 89038, 71072, 41100, 50199, 88931, 11461, 32145, 4816, 57742, 32474, 21219, 48678, 97122, 12931, 23613, 23094, 75282, 4590, 88601, 55354, 61152, 40107, 46181, 11471, 94037, 59281, 73904, 31319, 16176, 63097, 87202, 87694, 92562, 60302, 60872, 15637, 81273, 62255, 14481, 44505, 65618, 58067, 78221, 74425, 90699, 77368, 18564, 47555, 8193, 15419, 73923, 54253, 85192, 52544, 56133, 65501, 81203, 54671, 52085, 41967, 38267, 76890, 66342, 45388, 93708, 96833, 91574, 31088, 76971, 39953, 11633, 41840, 16432, 46267])"
225.0,7,652,10,35.430243730545044,163,"Genotype(dna=[75095, 22194, 26445, 88245, 25693, 2031, 81774, 87205, 82161, 59778, 5412, 75857, 72453, 43096, 44129, 93009, 92602, 30422, 28222, 79400, 43224, 91620, 80372, 30069, 3506, 23215, 64272, 28821, 33078, 23632, 14472, 93639, 63544, 98706, 86360, 85669, 56367, 56803, 2997, 71343, 81549, 44959, 71818, 15623, 65704, 57517, 33046, 8293, 29126, 1117, 24108, 36129, 58036, 38191, 31609, 18812, 72336, 91146, 52093, 80088, 51515, 89663, 42967, 35054, 98364, 62380, 57829, 97613, 3913, 5982, 67309, 68829, 2450, 76434, 696, 212, 35187, 5556, 54177, 27849, 5257, 92959, 74995, 24778, 86275, 39514, 88418, 53945, 35305, 77158, 62078, 64649, 30240, 13012, 93570, 90563, 25742, 82740, 95097, 10907, 69521, 89539, 85727, 8197, 22370, 12565, 99432, 97974, 70892, 17134, 62949, 15850, 61377, 96749, 57320, 63260, 88284, 11330, 27436, 18350, 64841, 14947, 77100, 15782, 93538, 40030, 57815, 80531, 25699, 80112, 81007, 79659, 75853, 24695, 42856, 17858, 17933, 14452, 50767, 45286, 80099, 59539, 49785, 91960, 27138, 38198, 80567, 97056, 99861, 97820, 83777, 45183, 43195, 42486, 16556, 14066, 43990, 55526, 56461, 46018, 94595, 90215, 75468, 8489, 43361, 54522, 22866, 61676, 51406, 49373, 73832, 1187, 20046, 14283, 72505, 87867, 18586, 20264, 61322, 64901, 25764, 43836, 89038, 71072, 41100, 50199, 88931, 11461, 32145, 4816, 57742, 32474, 21219, 48678, 97122, 12931, 23613, 23094, 75282, 4590, 88601, 55354, 61152, 40107, 46181, 11471, 94037, 59281, 73904, 31319, 16176, 63097, 87202, 87694, 92562, 60302, 60872, 15637, 81273, 62255, 14481, 44505, 65618, 58067, 78221, 74425, 90699, 77368, 18564, 47555, 8193, 15419, 73923, 54253, 85192, 52544, 56133, 65501, 81203, 54671, 52085, 41967, 38267, 76890, 66342, 45388, 93708, 96833, 91574, 31088, 76971, 39953, 11633, 41840, 16432, 46267])"
