Fitness,Depth,Nodes,Generations,time_since_the_start_of_the_evolution,seed,genotype_as_str
628.0,7,86,1,3.915907382965088,20094,"Genotype(dna=[41555, 71890, 38123, 7660, 82508, 99197, 1923, 27743, 9536, 62730, 24758, 7938, 7510, 65501, 25329, 74407, 92232, 76446, 52935, 9760, 27873, 16669, 7866, 54864, 85021, 98379, 74819, 61647, 53613, 93844, 8815, 51094, 81580, 87168, 65951, 44183, 96872, 87296, 40133, 92596, 26420, 85814, 56644, 59679, 32685, 55107, 98100, 87719, 54776, 9297, 23133, 35774, 25544, 31263, 62621, 10314, 11263, 25559, 93141, 72111, 58135, 67938, 17331, 78167, 95149, 66379, 31499, 9352, 56317, 52395, 26404, 81324, 24721, 52575, 13881, 63845, 67430, 49578, 62658, 30241, 81676, 37738, 48747, 14830, 96882, 76133, 2225, 88427, 26772, 44971, 41675, 76979, 99692, 58633, 22026, 28101, 72549, 87112, 49223, 10635, 57916, 86881, 32472, 86332, 78180, 64635, 87555, 87124, 1516, 35756, 93079, 37346, 3572, 53789, 53056, 66136, 28320, 76460, 63894, 97721, 14192, 84171, 86937, 66083, 52360, 76331, 95617, 68173, 20105, 50254, 70894, 99820, 40774, 23071, 74904, 32429, 57649, 30467, 67534, 46668, 2859, 44145, 65293, 31324, 18829, 41536, 78503, 38342, 54321, 38904, 53836, 46247, 59146, 75396, 12997, 86343, 96233, 13777, 47137, 99073, 54037, 4744, 33620, 13674, 70487, 33489, 71021, 24596, 996, 61094, 96602, 70326, 55151, 55715, 45548, 9518, 92042, 89628, 9729, 79041, 67773, 98130, 23098, 60686, 53752, 65556, 876, 7000, 39042, 87401, 64455, 40459, 7995, 16486, 58166, 6834, 90913, 41810, 74161, 36367, 47364, 49235, 48371, 18166, 76071, 86716, 25595, 20355, 59579, 38152, 60544, 17702, 10182, 86648, 84880, 97287, 82221, 17661, 15349, 39073, 75148, 47306, 22242, 79972, 36962, 34039, 90649, 6195, 5138, 68137, 74939, 38939, 98707, 67102, 76284, 51956, 21163, 56510, 25958, 18411, 87881, 62686, 77622, 33790, 53374, 60915, 11055, 21745, 69868, 35080, 40391, 56571, 56799, 57471, 66260, 55352])"
585.0,7,86,2,5.7438108921051025,20094,"Genotype(dna=[41555, 71890, 38123, 7660, 82508, 99197, 1923, 27743, 9536, 62730, 24758, 7938, 1555, 65501, 25329, 74407, 92232, 76446, 52935, 9760, 70298, 16669, 7866, 54864, 85021, 98379, 74819, 61647, 53613, 93844, 8815, 51094, 81580, 87168, 65951, 44183, 96872, 87296, 40133, 92596, 26420, 85814, 43969, 59679, 32685, 55107, 98100, 87719, 54776, 9297, 23133, 35774, 25544, 31263, 62621, 10314, 11263, 25559, 93141, 72111, 58135, 67938, 17331, 78167, 2918, 66379, 31499, 9352, 56317, 52395, 26404, 81324, 24721, 52575, 13881, 65825, 67430, 49578, 62658, 30241, 81676, 37738, 48747, 14830, 96882, 76133, 2225, 88427, 26772, 44971, 41675, 76979, 99692, 58633, 22026, 28101, 72549, 87112, 49223, 10635, 57916, 65136, 32472, 86332, 78180, 53056, 87555, 87124, 1516, 35756, 93079, 37346, 3572, 53789, 53056, 66136, 28320, 76460, 63894, 97721, 14192, 84171, 86937, 66083, 52360, 76331, 95617, 68173, 20105, 50254, 70894, 99820, 40774, 23071, 74904, 32429, 57649, 30467, 91797, 46668, 2859, 44145, 65293, 31324, 18829, 41536, 78503, 38342, 54321, 38904, 53836, 46247, 59146, 75396, 12997, 86343, 96233, 13777, 47137, 99073, 54037, 4744, 56373, 13674, 70487, 33489, 71021, 24596, 996, 61094, 96602, 70326, 55151, 55715, 45548, 9518, 92042, 89628, 9729, 79041, 67773, 98130, 55068, 63111, 53752, 65556, 876, 7000, 39042, 87401, 64455, 40459, 7995, 16486, 58166, 6834, 90913, 41810, 74161, 36367, 47364, 49235, 16623, 18166, 39603, 86716, 25595, 20355, 23409, 38152, 60544, 17702, 36595, 86648, 84880, 97287, 82221, 17661, 15349, 39073, 75148, 47306, 22242, 79972, 36962, 34039, 90649, 6195, 5138, 68137, 74939, 38939, 98707, 67102, 76284, 51956, 21163, 56510, 25958, 18411, 12876, 60476, 91246, 57859, 39704, 5160, 25911, 61254, 99807, 58748, 29258, 9349, 46016, 6665, 93513, 71004])"
567.0,7,84,3,7.520400524139404,20094,"Genotype(dna=[41555, 71890, 38123, 41645, 82508, 43736, 1923, 27743, 9536, 62730, 24758, 7938, 7510, 65501, 25329, 74407, 92232, 76446, 52935, 9760, 27873, 16669, 7866, 54864, 85021, 98379, 74819, 61647, 53613, 93844, 8815, 51094, 81580, 87168, 65951, 44183, 96872, 87296, 40133, 92596, 26420, 85814, 74705, 59679, 32685, 55107, 88966, 87719, 54776, 9297, 23133, 35774, 25544, 3596, 62621, 10314, 11263, 25559, 93141, 72111, 58135, 76574, 17331, 78167, 95149, 66379, 31499, 9352, 56317, 52395, 26404, 81324, 24721, 52575, 13881, 63845, 67430, 49578, 62658, 30241, 81676, 37738, 48747, 14830, 96882, 76133, 2225, 88427, 26772, 44971, 41675, 76979, 99692, 58633, 22026, 28101, 72549, 87112, 49223, 10635, 57916, 86881, 32472, 86332, 78180, 64635, 87555, 87124, 1516, 35756, 93079, 37346, 3572, 53789, 53056, 66136, 28320, 83455, 63894, 97721, 3824, 84171, 86937, 66083, 52360, 76331, 95617, 68173, 20105, 50254, 70894, 99820, 40774, 23071, 74904, 32429, 57649, 30467, 67534, 46668, 2859, 44145, 65293, 14935, 8659, 41536, 78503, 38342, 54321, 38904, 53836, 46247, 59146, 75396, 12997, 86343, 96233, 13777, 5182, 99073, 54037, 4744, 33620, 13674, 70487, 33489, 71021, 24596, 996, 61094, 96602, 70326, 55151, 55715, 45548, 9518, 92042, 89628, 9729, 79041, 67773, 98130, 23098, 60686, 53752, 65556, 876, 7000, 39042, 87401, 64455, 40459, 7995, 16486, 58166, 6834, 90913, 41810, 74161, 36367, 47364, 49235, 48371, 18166, 76071, 86716, 25595, 20355, 59579, 38152, 60544, 17702, 10182, 86648, 84880, 97287, 82221, 87743, 15349, 39073, 75148, 47306, 22242, 79972, 36962, 34039, 90649, 6195, 5138, 68137, 74939, 38939, 98707, 67102, 76284, 51956, 21163, 56510, 25958, 18411, 87881, 62686, 77622, 33790, 53374, 49662, 11055, 21745, 69868, 35080, 4307, 56571, 56799, 57471, 66260, 55352])"
567.0,7,84,4,9.088202714920044,20094,"Genotype(dna=[41555, 71890, 38123, 41645, 82508, 43736, 1923, 27743, 9536, 62730, 24758, 7938, 7510, 65501, 25329, 74407, 92232, 76446, 52935, 9760, 27873, 16669, 7866, 54864, 85021, 98379, 74819, 61647, 53613, 93844, 8815, 51094, 81580, 87168, 65951, 44183, 96872, 87296, 40133, 92596, 26420, 85814, 74705, 59679, 32685, 55107, 88966, 87719, 54776, 9297, 23133, 35774, 25544, 3596, 62621, 10314, 11263, 25559, 93141, 72111, 58135, 76574, 17331, 78167, 95149, 66379, 31499, 9352, 56317, 52395, 26404, 81324, 24721, 52575, 13881, 63845, 67430, 49578, 62658, 30241, 81676, 37738, 48747, 14830, 96882, 76133, 2225, 88427, 26772, 44971, 41675, 76979, 99692, 58633, 22026, 28101, 72549, 87112, 49223, 10635, 57916, 86881, 32472, 86332, 78180, 64635, 87555, 87124, 1516, 35756, 93079, 37346, 3572, 53789, 53056, 66136, 28320, 83455, 63894, 97721, 3824, 84171, 86937, 66083, 52360, 76331, 95617, 68173, 20105, 50254, 70894, 99820, 40774, 23071, 74904, 32429, 57649, 30467, 67534, 46668, 2859, 44145, 65293, 14935, 8659, 41536, 78503, 38342, 54321, 38904, 53836, 46247, 59146, 75396, 12997, 86343, 96233, 13777, 5182, 99073, 54037, 4744, 33620, 13674, 70487, 33489, 71021, 24596, 996, 61094, 96602, 70326, 55151, 55715, 45548, 9518, 92042, 89628, 9729, 79041, 67773, 98130, 23098, 60686, 53752, 65556, 876, 7000, 39042, 87401, 64455, 40459, 7995, 16486, 58166, 6834, 90913, 41810, 74161, 36367, 47364, 49235, 48371, 18166, 76071, 86716, 25595, 20355, 59579, 38152, 60544, 17702, 10182, 86648, 84880, 97287, 82221, 87743, 15349, 39073, 75148, 47306, 22242, 79972, 36962, 34039, 90649, 6195, 5138, 68137, 74939, 38939, 98707, 67102, 76284, 51956, 21163, 56510, 25958, 18411, 87881, 62686, 77622, 33790, 53374, 49662, 11055, 21745, 69868, 35080, 4307, 56571, 56799, 57471, 66260, 55352])"
567.0,7,84,5,10.51111102104187,20094,"Genotype(dna=[41555, 71890, 38123, 41645, 82508, 43736, 1923, 27743, 9536, 62730, 24758, 7938, 7510, 65501, 25329, 74407, 92232, 76446, 52935, 9760, 27873, 16669, 7866, 54864, 85021, 98379, 74819, 61647, 53613, 93844, 8815, 51094, 81580, 87168, 65951, 44183, 96872, 87296, 40133, 92596, 26420, 85814, 74705, 59679, 32685, 55107, 88966, 87719, 54776, 9297, 23133, 35774, 25544, 3596, 62621, 10314, 11263, 25559, 93141, 72111, 58135, 76574, 17331, 78167, 95149, 66379, 31499, 9352, 56317, 52395, 26404, 81324, 24721, 52575, 13881, 63845, 67430, 49578, 62658, 30241, 81676, 37738, 48747, 14830, 96882, 76133, 2225, 88427, 26772, 44971, 41675, 76979, 99692, 58633, 22026, 28101, 72549, 87112, 49223, 10635, 57916, 86881, 32472, 86332, 78180, 64635, 87555, 87124, 1516, 35756, 93079, 37346, 3572, 53789, 53056, 66136, 28320, 83455, 63894, 97721, 3824, 84171, 86937, 66083, 52360, 76331, 95617, 68173, 20105, 50254, 70894, 99820, 40774, 23071, 74904, 32429, 57649, 30467, 67534, 46668, 2859, 44145, 65293, 14935, 8659, 41536, 78503, 38342, 54321, 38904, 53836, 46247, 59146, 75396, 12997, 86343, 96233, 13777, 5182, 99073, 54037, 4744, 33620, 13674, 70487, 33489, 71021, 24596, 996, 61094, 96602, 70326, 55151, 55715, 45548, 9518, 92042, 89628, 9729, 79041, 67773, 98130, 23098, 60686, 53752, 65556, 876, 7000, 39042, 87401, 64455, 40459, 7995, 16486, 58166, 6834, 90913, 41810, 74161, 36367, 47364, 49235, 48371, 18166, 76071, 86716, 25595, 20355, 59579, 38152, 60544, 17702, 10182, 86648, 84880, 97287, 82221, 87743, 15349, 39073, 75148, 47306, 22242, 79972, 36962, 34039, 90649, 6195, 5138, 68137, 74939, 38939, 98707, 67102, 76284, 51956, 21163, 56510, 25958, 18411, 87881, 62686, 77622, 33790, 53374, 49662, 11055, 21745, 69868, 35080, 4307, 56571, 56799, 57471, 66260, 55352])"
553.0,7,86,6,12.277604103088379,20094,"Genotype(dna=[41555, 71890, 38123, 7660, 82508, 99197, 1923, 27743, 9536, 62730, 24758, 7938, 1555, 65501, 25329, 74407, 92232, 76446, 52935, 9760, 70298, 16669, 7866, 54864, 85021, 98379, 74819, 61647, 53613, 93844, 8815, 51094, 81580, 87168, 65951, 44183, 96872, 87296, 40133, 92596, 26420, 85814, 43969, 59679, 32685, 55107, 98100, 87719, 54776, 9297, 23133, 35774, 25544, 31263, 62621, 10314, 11263, 25559, 93141, 72111, 58135, 67938, 17331, 78167, 95149, 66379, 31499, 9352, 56317, 52395, 26404, 81324, 24721, 52575, 13881, 63845, 67430, 49578, 62658, 30241, 81676, 37738, 48747, 14830, 96882, 76133, 2225, 88427, 26772, 44971, 41675, 76979, 99692, 58633, 22026, 28101, 72549, 87112, 49223, 10635, 63377, 86881, 32472, 86332, 78180, 64635, 87555, 87124, 1516, 35756, 93079, 37346, 3572, 53789, 53056, 66136, 28320, 76460, 93983, 97721, 14192, 84171, 30904, 66083, 52360, 76331, 95617, 68173, 20105, 50254, 70894, 99820, 40774, 23071, 74904, 32429, 57649, 30467, 67534, 46668, 2859, 44145, 65293, 31324, 18829, 41536, 78503, 38342, 54321, 38904, 53836, 46247, 59146, 75396, 12997, 86343, 96233, 13777, 47137, 99073, 54037, 4744, 33620, 13674, 84304, 33489, 71021, 24596, 996, 61094, 96602, 70326, 55151, 55715, 45548, 9518, 92042, 89628, 9729, 79041, 67773, 98130, 23098, 60686, 53752, 65556, 876, 7000, 39042, 87401, 64455, 40459, 7995, 16486, 58166, 6834, 90913, 41810, 74161, 36367, 47364, 49235, 48371, 18166, 76071, 86716, 25595, 20355, 23409, 38152, 60544, 17702, 36595, 86648, 84880, 97287, 82221, 17661, 15349, 39073, 75148, 47306, 22242, 31069, 36962, 34039, 90649, 6195, 33585, 68137, 74939, 38939, 98707, 67102, 76284, 51956, 21163, 56510, 25958, 18411, 12876, 60476, 91246, 57859, 39704, 5160, 25911, 61254, 99807, 58748, 29258, 9349, 46016, 6665, 93513, 71004])"
553.0,7,86,7,13.729467391967773,20094,"Genotype(dna=[41555, 71890, 38123, 7660, 82508, 99197, 1923, 27743, 9536, 62730, 24758, 7938, 1555, 65501, 25329, 74407, 92232, 76446, 52935, 9760, 70298, 16669, 7866, 54864, 85021, 98379, 74819, 61647, 53613, 93844, 8815, 51094, 81580, 87168, 65951, 44183, 96872, 87296, 40133, 92596, 26420, 85814, 43969, 59679, 32685, 55107, 98100, 87719, 54776, 9297, 23133, 35774, 25544, 31263, 62621, 10314, 11263, 25559, 93141, 72111, 58135, 67938, 17331, 78167, 95149, 66379, 31499, 9352, 56317, 52395, 26404, 81324, 24721, 52575, 13881, 63845, 67430, 49578, 62658, 30241, 81676, 37738, 48747, 14830, 96882, 76133, 2225, 88427, 26772, 44971, 41675, 76979, 99692, 58633, 22026, 28101, 72549, 87112, 49223, 10635, 63377, 86881, 32472, 86332, 78180, 64635, 87555, 87124, 1516, 35756, 93079, 37346, 3572, 53789, 53056, 66136, 28320, 76460, 93983, 97721, 14192, 84171, 30904, 66083, 52360, 76331, 95617, 68173, 20105, 50254, 70894, 99820, 40774, 23071, 74904, 32429, 57649, 30467, 67534, 46668, 2859, 44145, 65293, 31324, 18829, 41536, 78503, 38342, 54321, 38904, 53836, 46247, 59146, 75396, 12997, 86343, 96233, 13777, 47137, 99073, 54037, 4744, 33620, 13674, 84304, 33489, 71021, 24596, 996, 61094, 96602, 70326, 55151, 55715, 45548, 9518, 92042, 89628, 9729, 79041, 67773, 98130, 23098, 60686, 53752, 65556, 876, 7000, 39042, 87401, 64455, 40459, 7995, 16486, 58166, 6834, 90913, 41810, 74161, 36367, 47364, 49235, 48371, 18166, 76071, 86716, 25595, 20355, 23409, 38152, 60544, 17702, 36595, 86648, 84880, 97287, 82221, 17661, 15349, 39073, 75148, 47306, 22242, 31069, 36962, 34039, 90649, 6195, 33585, 68137, 74939, 38939, 98707, 67102, 76284, 51956, 21163, 56510, 25958, 18411, 12876, 60476, 91246, 57859, 39704, 5160, 25911, 61254, 99807, 58748, 29258, 9349, 46016, 6665, 93513, 71004])"
553.0,7,86,8,15.185821294784546,20094,"Genotype(dna=[41555, 71890, 38123, 7660, 82508, 99197, 1923, 27743, 9536, 62730, 24758, 7938, 1555, 65501, 25329, 74407, 92232, 76446, 52935, 9760, 70298, 16669, 7866, 54864, 85021, 98379, 74819, 61647, 53613, 93844, 8815, 51094, 81580, 87168, 65951, 44183, 96872, 87296, 40133, 92596, 26420, 85814, 43969, 59679, 32685, 55107, 98100, 87719, 54776, 9297, 23133, 35774, 25544, 31263, 62621, 10314, 11263, 25559, 93141, 72111, 58135, 67938, 17331, 78167, 95149, 66379, 31499, 9352, 56317, 52395, 26404, 81324, 24721, 52575, 13881, 63845, 67430, 49578, 62658, 30241, 81676, 37738, 48747, 14830, 96882, 76133, 2225, 88427, 26772, 44971, 41675, 76979, 99692, 58633, 22026, 28101, 72549, 87112, 49223, 10635, 63377, 86881, 32472, 86332, 78180, 64635, 87555, 87124, 1516, 35756, 93079, 37346, 3572, 53789, 53056, 66136, 28320, 76460, 93983, 97721, 14192, 84171, 30904, 66083, 52360, 76331, 95617, 68173, 20105, 50254, 70894, 99820, 40774, 23071, 74904, 32429, 57649, 30467, 67534, 46668, 2859, 44145, 65293, 31324, 18829, 41536, 78503, 38342, 54321, 38904, 53836, 46247, 59146, 75396, 12997, 86343, 96233, 13777, 47137, 99073, 54037, 4744, 33620, 13674, 84304, 33489, 71021, 24596, 996, 61094, 96602, 70326, 55151, 55715, 45548, 9518, 92042, 89628, 9729, 79041, 67773, 98130, 23098, 60686, 53752, 65556, 876, 7000, 39042, 87401, 64455, 40459, 7995, 16486, 58166, 6834, 90913, 41810, 74161, 36367, 47364, 49235, 48371, 18166, 76071, 86716, 25595, 20355, 23409, 38152, 60544, 17702, 36595, 86648, 84880, 97287, 82221, 17661, 15349, 39073, 75148, 47306, 22242, 31069, 36962, 34039, 90649, 6195, 33585, 68137, 74939, 38939, 98707, 67102, 76284, 51956, 21163, 56510, 25958, 18411, 12876, 60476, 91246, 57859, 39704, 5160, 25911, 61254, 99807, 58748, 29258, 9349, 46016, 6665, 93513, 71004])"
550.0,7,85,9,16.578688383102417,20094,"Genotype(dna=[64912, 71890, 38123, 7660, 82508, 99197, 1923, 27743, 9536, 62730, 24758, 7938, 1555, 65501, 25329, 74407, 92232, 76446, 52935, 9760, 70298, 16669, 7866, 54864, 85021, 98379, 74819, 61647, 53613, 93844, 8815, 51094, 81580, 87168, 65951, 44183, 96872, 87296, 89618, 92596, 26420, 85814, 43969, 59679, 32685, 55107, 98100, 87719, 54776, 9297, 23133, 35774, 25544, 31263, 62621, 10314, 11263, 25559, 93141, 72111, 58135, 67938, 17331, 78167, 2918, 66379, 31499, 9352, 56317, 52395, 26404, 81324, 24721, 52575, 13881, 65825, 32898, 49578, 62658, 30241, 81676, 37738, 48747, 14830, 96882, 76133, 2225, 88427, 26772, 44971, 41675, 88626, 99692, 58633, 22026, 28101, 72549, 87112, 49223, 10635, 57916, 65136, 32472, 86332, 78180, 53056, 87555, 87124, 1516, 35756, 93079, 37346, 3572, 53789, 53056, 44370, 28320, 76460, 63894, 97721, 14192, 84171, 86937, 66083, 52360, 76331, 95617, 68173, 20105, 50254, 70894, 23605, 40774, 23071, 74904, 32429, 57649, 30467, 91797, 46668, 2859, 44145, 65293, 31324, 18829, 41536, 78503, 38342, 54321, 38904, 53836, 46247, 59146, 75396, 12997, 86343, 96233, 13777, 51917, 99073, 8127, 4744, 56373, 13674, 70487, 33489, 71021, 24596, 996, 61094, 96602, 70326, 55151, 55715, 45548, 9518, 92042, 89628, 9729, 79041, 67773, 98130, 55068, 63111, 53752, 65556, 876, 7000, 39042, 87401, 64455, 40459, 7995, 16486, 58166, 6834, 90913, 41810, 74161, 36367, 47364, 49235, 16623, 18166, 39603, 86716, 25595, 20355, 23409, 38152, 60544, 17702, 36595, 86648, 84880, 97287, 82221, 17661, 15349, 39073, 75148, 47306, 22242, 79972, 36962, 34039, 90649, 6195, 5138, 6706, 74939, 38939, 98707, 67102, 60360, 51956, 21163, 56510, 25958, 18411, 12876, 60476, 91246, 57859, 39704, 5160, 25911, 61254, 99807, 58748, 29258, 9349, 46016, 6665, 93513, 71004])"
541.0,7,86,10,18.11308264732361,20094,"Genotype(dna=[41555, 71890, 38123, 7660, 82508, 99197, 1923, 27743, 9536, 62730, 24758, 7938, 1555, 65501, 25329, 74407, 92232, 76446, 52935, 9760, 70298, 16669, 7866, 54864, 85021, 98379, 74819, 61647, 53613, 93844, 8815, 51094, 81580, 87168, 65951, 44183, 96872, 87296, 40133, 92596, 26420, 85814, 43969, 59679, 32685, 55107, 98100, 87719, 54776, 9297, 23133, 35774, 25544, 31263, 62621, 10314, 11263, 25559, 93141, 72111, 58135, 67938, 17331, 78167, 95149, 66379, 31499, 9352, 56317, 52395, 26404, 81324, 24721, 52575, 13881, 63845, 67430, 49578, 62658, 30241, 81676, 37738, 48747, 14830, 96882, 76133, 2225, 88427, 26772, 44971, 41675, 76979, 99692, 58633, 22026, 28101, 72549, 87112, 49223, 10635, 63377, 86881, 32472, 86332, 78180, 64635, 87555, 87124, 1516, 35756, 93079, 37346, 3572, 53789, 53056, 66136, 28320, 76460, 93983, 97721, 14192, 84171, 30904, 66083, 52360, 76331, 95617, 68173, 20105, 50254, 70894, 99820, 40774, 23071, 74904, 32429, 57649, 30467, 67534, 46668, 2859, 44145, 65293, 14935, 8659, 41536, 78503, 38342, 54321, 38904, 53836, 46247, 59146, 75396, 12997, 86343, 96233, 13777, 5182, 99073, 54037, 4744, 33620, 13674, 70487, 33489, 71021, 24596, 996, 61094, 96602, 70326, 55151, 55715, 45548, 9518, 92042, 89628, 9729, 79041, 67773, 98130, 23098, 60686, 53752, 65556, 876, 7000, 39042, 87401, 64455, 40459, 7995, 16486, 58166, 6834, 90913, 41810, 74161, 36367, 47364, 49235, 48371, 18166, 76071, 86716, 25595, 20355, 59579, 38152, 60544, 17702, 10182, 86648, 84880, 97287, 82221, 87743, 15349, 39073, 75148, 47306, 22242, 79972, 36962, 34039, 90649, 6195, 5138, 68137, 74939, 38939, 98707, 67102, 76284, 51956, 21163, 56510, 25958, 18411, 87881, 62686, 77622, 33790, 53374, 49662, 11055, 21745, 69868, 35080, 4307, 56571, 56799, 57471, 66260, 55352])"
