Fitness,Depth,Nodes,Generations,time_since_the_start_of_the_evolution,seed,genotype_as_str
35.0,7,21,1,0.4590170383453369,40864,"NT_0007_P_00003(__a=NT_0007_P_00002(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True)))), __b=NT_0007_P_00001(__a=NT_0007_P_00002(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True))))), __b=NT_0004_P_00005(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=False)), __b=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True))), __c=100, __d=NT_0001_P_00008(__a=NT_0000_P_00000(__a=True), __b=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True)), __c=50, __d=True))), __c=NT_0003_P_00001())"
35.0,7,21,2,0.7103548049926758,40864,"NT_0007_P_00003(__a=NT_0007_P_00002(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True)))), __b=NT_0007_P_00001(__a=NT_0007_P_00002(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True))))), __b=NT_0004_P_00005(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=False)), __b=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True))), __c=100, __d=NT_0001_P_00008(__a=NT_0000_P_00000(__a=True), __b=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True)), __c=50, __d=True))), __c=NT_0003_P_00001())"
33.0,8,22,3,0.969982385635376,40864,"NT_0007_P_00003(__a=NT_0007_P_00002(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True)))), __b=NT_0007_P_00001(__a=NT_0007_P_00002(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True))))), __b=NT_0004_P_00005(__a=NT_0000_P_00000(__a=False), __b=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True))), __c=100, __d=NT_0001_P_00008(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True)))), __b=NT_0000_P_00000(__a=True), __c=22, __d=False))), __c=NT_0003_P_00001())"
31.0,7,23,4,1.2586185932159424,40864,"NT_0007_P_00003(__a=NT_0007_P_00002(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True)))), __b=NT_0007_P_00001(__a=NT_0007_P_00002(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True))))), __b=NT_0004_P_00005(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True)))), __b=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True))), __c=100, __d=NT_0001_P_00008(__a=NT_0000_P_00000(__a=True), __b=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True)), __c=50, __d=True))), __c=NT_0003_P_00001())"
31.0,7,23,5,1.4853579998016357,40864,"NT_0007_P_00003(__a=NT_0007_P_00002(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True)))), __b=NT_0007_P_00001(__a=NT_0007_P_00002(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True))))), __b=NT_0004_P_00005(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True)))), __b=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True))), __c=100, __d=NT_0001_P_00008(__a=NT_0000_P_00000(__a=True), __b=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True)), __c=50, __d=True))), __c=NT_0003_P_00001())"
31.0,7,23,6,1.7403781414031982,40864,"NT_0007_P_00003(__a=NT_0007_P_00002(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True)))), __b=NT_0007_P_00001(__a=NT_0007_P_00002(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True))))), __b=NT_0004_P_00005(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True)))), __b=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True))), __c=100, __d=NT_0001_P_00008(__a=NT_0000_P_00000(__a=True), __b=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True)), __c=50, __d=True))), __c=NT_0003_P_00001())"
31.0,7,23,7,1.9230878353118896,40864,"NT_0007_P_00003(__a=NT_0007_P_00002(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True)))), __b=NT_0007_P_00001(__a=NT_0007_P_00002(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True))))), __b=NT_0004_P_00005(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True)))), __b=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True))), __c=100, __d=NT_0001_P_00008(__a=NT_0000_P_00000(__a=True), __b=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True)), __c=50, __d=True))), __c=NT_0003_P_00001())"
31.0,7,23,8,2.144005298614502,40864,"NT_0007_P_00003(__a=NT_0007_P_00002(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True)))), __b=NT_0007_P_00001(__a=NT_0007_P_00002(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True))))), __b=NT_0004_P_00005(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True)))), __b=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True))), __c=100, __d=NT_0001_P_00008(__a=NT_0000_P_00000(__a=True), __b=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True)), __c=50, __d=True))), __c=NT_0003_P_00001())"
31.0,7,23,9,2.2393932342529297,40864,"NT_0007_P_00003(__a=NT_0007_P_00002(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True)))), __b=NT_0007_P_00001(__a=NT_0007_P_00002(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True))))), __b=NT_0004_P_00005(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True)))), __b=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True))), __c=100, __d=NT_0001_P_00008(__a=NT_0000_P_00000(__a=True), __b=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True)), __c=50, __d=True))), __c=NT_0003_P_00001())"
31.0,7,23,10,2.356761932373047,40864,"NT_0007_P_00003(__a=NT_0007_P_00002(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True)))), __b=NT_0007_P_00001(__a=NT_0007_P_00002(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True))))), __b=NT_0004_P_00005(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True)))), __b=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True))), __c=100, __d=NT_0001_P_00008(__a=NT_0000_P_00000(__a=True), __b=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True)), __c=50, __d=True))), __c=NT_0003_P_00001())"
