Fitness,Depth,Nodes,Generations,time_since_the_start_of_the_evolution,seed,genotype_as_str
1.0,11,24,1,0.640629768371582,50124,"NT_0008_P_00004(__a=NT_0008_P_00004(__a=NT_0008_P_00003(__a=NT_0002_P_00001(__a=True, __b=91, __c=NT_0000_P_00001(__a=NT_0000_P_00003(__a=False, __b=True), __b=68, __c=95, __d=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True, __b=66, __c=NT_0000_P_00001(__a=NT_0000_P_00002(), __b=63, __c=88, __d=NT_0000_P_00001(__a=NT_0000_P_00002(), __b=1, __c=26, __d=NT_0000_P_00002())), __d=True, __e=True), __b=41, __c=2, __d=NT_0000_P_00003(__a=False, __b=True)), __b=95, __c=55, __d=NT_0000_P_00003(__a=True, __b=False)), __b=41, __c=46, __d=NT_0000_P_00003(__a=True, __b=False))), __d=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=False, __b=16, __c=NT_0000_P_00003(__a=False, __b=False), __d=False, __e=False), __b=96, __c=1, __d=NT_0000_P_00000(__a=True, __b=5, __c=NT_0000_P_00000(__a=True, __b=88, __c=NT_0000_P_00002(), __d=False, __e=True), __d=False, __e=False)), __b=96, __c=34, __d=NT_0000_P_00000(__a=True, __b=65, __c=NT_0000_P_00000(__a=True, __b=1, __c=NT_0000_P_00003(__a=True, __b=False), __d=False, __e=True), __d=False, __e=True))))))"
1.0,11,24,2,1.0743167400360107,50124,"NT_0008_P_00004(__a=NT_0008_P_00004(__a=NT_0008_P_00003(__a=NT_0002_P_00001(__a=True, __b=91, __c=NT_0000_P_00001(__a=NT_0000_P_00003(__a=False, __b=True), __b=68, __c=95, __d=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True, __b=66, __c=NT_0000_P_00001(__a=NT_0000_P_00002(), __b=63, __c=88, __d=NT_0000_P_00001(__a=NT_0000_P_00002(), __b=1, __c=26, __d=NT_0000_P_00002())), __d=True, __e=True), __b=41, __c=2, __d=NT_0000_P_00003(__a=False, __b=True)), __b=95, __c=55, __d=NT_0000_P_00003(__a=True, __b=False)), __b=41, __c=46, __d=NT_0000_P_00003(__a=True, __b=False))), __d=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=False, __b=16, __c=NT_0000_P_00003(__a=False, __b=False), __d=False, __e=False), __b=96, __c=1, __d=NT_0000_P_00000(__a=True, __b=5, __c=NT_0000_P_00000(__a=True, __b=88, __c=NT_0000_P_00002(), __d=False, __e=True), __d=False, __e=False)), __b=96, __c=34, __d=NT_0000_P_00000(__a=True, __b=65, __c=NT_0000_P_00000(__a=True, __b=1, __c=NT_0000_P_00003(__a=True, __b=False), __d=False, __e=True), __d=False, __e=True))))))"
1.0,11,24,3,1.4634885787963867,50124,"NT_0008_P_00004(__a=NT_0008_P_00004(__a=NT_0008_P_00003(__a=NT_0002_P_00001(__a=True, __b=91, __c=NT_0000_P_00001(__a=NT_0000_P_00003(__a=False, __b=True), __b=68, __c=95, __d=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True, __b=66, __c=NT_0000_P_00001(__a=NT_0000_P_00002(), __b=63, __c=88, __d=NT_0000_P_00001(__a=NT_0000_P_00002(), __b=1, __c=26, __d=NT_0000_P_00002())), __d=True, __e=True), __b=41, __c=2, __d=NT_0000_P_00003(__a=False, __b=True)), __b=95, __c=55, __d=NT_0000_P_00003(__a=True, __b=False)), __b=41, __c=46, __d=NT_0000_P_00003(__a=True, __b=False))), __d=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=False, __b=16, __c=NT_0000_P_00003(__a=False, __b=False), __d=False, __e=False), __b=96, __c=1, __d=NT_0000_P_00000(__a=True, __b=5, __c=NT_0000_P_00000(__a=True, __b=88, __c=NT_0000_P_00002(), __d=False, __e=True), __d=False, __e=False)), __b=96, __c=34, __d=NT_0000_P_00000(__a=True, __b=65, __c=NT_0000_P_00000(__a=True, __b=1, __c=NT_0000_P_00003(__a=True, __b=False), __d=False, __e=True), __d=False, __e=True))))))"
1.0,11,24,4,2.0116679668426514,50124,"NT_0008_P_00004(__a=NT_0008_P_00004(__a=NT_0008_P_00003(__a=NT_0002_P_00001(__a=True, __b=91, __c=NT_0000_P_00001(__a=NT_0000_P_00003(__a=False, __b=True), __b=68, __c=95, __d=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True, __b=66, __c=NT_0000_P_00001(__a=NT_0000_P_00002(), __b=63, __c=88, __d=NT_0000_P_00001(__a=NT_0000_P_00002(), __b=1, __c=26, __d=NT_0000_P_00002())), __d=True, __e=True), __b=41, __c=2, __d=NT_0000_P_00003(__a=False, __b=True)), __b=95, __c=55, __d=NT_0000_P_00003(__a=True, __b=False)), __b=41, __c=46, __d=NT_0000_P_00003(__a=True, __b=False))), __d=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=False, __b=16, __c=NT_0000_P_00003(__a=False, __b=False), __d=False, __e=False), __b=96, __c=1, __d=NT_0000_P_00000(__a=True, __b=5, __c=NT_0000_P_00000(__a=True, __b=88, __c=NT_0000_P_00002(), __d=False, __e=True), __d=False, __e=False)), __b=96, __c=34, __d=NT_0000_P_00000(__a=True, __b=65, __c=NT_0000_P_00000(__a=True, __b=1, __c=NT_0000_P_00003(__a=True, __b=False), __d=False, __e=True), __d=False, __e=True))))))"
1.0,11,24,5,2.4308013916015625,50124,"NT_0008_P_00004(__a=NT_0008_P_00004(__a=NT_0008_P_00003(__a=NT_0002_P_00001(__a=True, __b=91, __c=NT_0000_P_00001(__a=NT_0000_P_00003(__a=False, __b=True), __b=68, __c=95, __d=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True, __b=66, __c=NT_0000_P_00001(__a=NT_0000_P_00002(), __b=63, __c=88, __d=NT_0000_P_00001(__a=NT_0000_P_00002(), __b=1, __c=26, __d=NT_0000_P_00002())), __d=True, __e=True), __b=41, __c=2, __d=NT_0000_P_00003(__a=False, __b=True)), __b=95, __c=55, __d=NT_0000_P_00003(__a=True, __b=False)), __b=41, __c=46, __d=NT_0000_P_00003(__a=True, __b=False))), __d=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=False, __b=16, __c=NT_0000_P_00003(__a=False, __b=False), __d=False, __e=False), __b=96, __c=1, __d=NT_0000_P_00000(__a=True, __b=5, __c=NT_0000_P_00000(__a=True, __b=88, __c=NT_0000_P_00002(), __d=False, __e=True), __d=False, __e=False)), __b=96, __c=34, __d=NT_0000_P_00000(__a=True, __b=65, __c=NT_0000_P_00000(__a=True, __b=1, __c=NT_0000_P_00003(__a=True, __b=False), __d=False, __e=True), __d=False, __e=True))))))"
1.0,11,24,6,2.709895372390747,50124,"NT_0008_P_00004(__a=NT_0008_P_00004(__a=NT_0008_P_00003(__a=NT_0002_P_00001(__a=True, __b=91, __c=NT_0000_P_00001(__a=NT_0000_P_00003(__a=False, __b=True), __b=68, __c=95, __d=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True, __b=66, __c=NT_0000_P_00001(__a=NT_0000_P_00002(), __b=63, __c=88, __d=NT_0000_P_00001(__a=NT_0000_P_00002(), __b=1, __c=26, __d=NT_0000_P_00002())), __d=True, __e=True), __b=41, __c=2, __d=NT_0000_P_00003(__a=False, __b=True)), __b=95, __c=55, __d=NT_0000_P_00003(__a=True, __b=False)), __b=41, __c=46, __d=NT_0000_P_00003(__a=True, __b=False))), __d=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=False, __b=16, __c=NT_0000_P_00003(__a=False, __b=False), __d=False, __e=False), __b=96, __c=1, __d=NT_0000_P_00000(__a=True, __b=5, __c=NT_0000_P_00000(__a=True, __b=88, __c=NT_0000_P_00002(), __d=False, __e=True), __d=False, __e=False)), __b=96, __c=34, __d=NT_0000_P_00000(__a=True, __b=65, __c=NT_0000_P_00000(__a=True, __b=1, __c=NT_0000_P_00003(__a=True, __b=False), __d=False, __e=True), __d=False, __e=True))))))"
1.0,11,24,7,2.929961681365967,50124,"NT_0008_P_00004(__a=NT_0008_P_00004(__a=NT_0008_P_00003(__a=NT_0002_P_00001(__a=True, __b=91, __c=NT_0000_P_00001(__a=NT_0000_P_00003(__a=False, __b=True), __b=68, __c=95, __d=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True, __b=66, __c=NT_0000_P_00001(__a=NT_0000_P_00002(), __b=63, __c=88, __d=NT_0000_P_00001(__a=NT_0000_P_00002(), __b=1, __c=26, __d=NT_0000_P_00002())), __d=True, __e=True), __b=41, __c=2, __d=NT_0000_P_00003(__a=False, __b=True)), __b=95, __c=55, __d=NT_0000_P_00003(__a=True, __b=False)), __b=41, __c=46, __d=NT_0000_P_00003(__a=True, __b=False))), __d=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=False, __b=16, __c=NT_0000_P_00003(__a=False, __b=False), __d=False, __e=False), __b=96, __c=1, __d=NT_0000_P_00000(__a=True, __b=5, __c=NT_0000_P_00000(__a=True, __b=88, __c=NT_0000_P_00002(), __d=False, __e=True), __d=False, __e=False)), __b=96, __c=34, __d=NT_0000_P_00000(__a=True, __b=65, __c=NT_0000_P_00000(__a=True, __b=1, __c=NT_0000_P_00003(__a=True, __b=False), __d=False, __e=True), __d=False, __e=True))))))"
1.0,9,21,8,3.273311138153076,50124,"NT_0008_P_00003(__a=NT_0002_P_00001(__a=False, __b=78, __c=NT_0000_P_00000(__a=True, __b=47, __c=NT_0000_P_00001(__a=NT_0000_P_00002(), __b=34, __c=40, __d=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True, __b=98, __c=NT_0000_P_00002(), __d=True, __e=True), __b=69, __c=8, __d=NT_0000_P_00002())), __d=False, __e=True), __d=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True, __b=4, __c=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True, __b=76, __c=NT_0000_P_00003(__a=True, __b=True), __d=False, __e=True), __b=31, __c=19, __d=NT_0000_P_00002()), __d=False, __e=False), __b=34, __c=28, __d=NT_0000_P_00001(__a=NT_0000_P_00002(), __b=12, __c=66, __d=NT_0000_P_00002())), __b=33, __c=78, __d=NT_0000_P_00001(__a=NT_0000_P_00003(__a=True, __b=True), __b=53, __c=11, __d=NT_0000_P_00000(__a=True, __b=41, __c=NT_0000_P_00001(__a=NT_0000_P_00002(), __b=66, __c=41, __d=NT_0000_P_00001(__a=NT_0000_P_00000(__a=False, __b=78, __c=NT_0000_P_00003(__a=True, __b=False), __d=False, __e=True), __b=84, __c=68, __d=NT_0000_P_00000(__a=False, __b=94, __c=NT_0000_P_00002(), __d=True, __e=False))), __d=False, __e=False)))))"
1.0,9,21,9,3.5482563972473145,50124,"NT_0008_P_00003(__a=NT_0002_P_00001(__a=False, __b=78, __c=NT_0000_P_00000(__a=True, __b=47, __c=NT_0000_P_00001(__a=NT_0000_P_00002(), __b=34, __c=40, __d=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True, __b=98, __c=NT_0000_P_00002(), __d=True, __e=True), __b=69, __c=8, __d=NT_0000_P_00002())), __d=False, __e=True), __d=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True, __b=4, __c=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True, __b=76, __c=NT_0000_P_00003(__a=True, __b=True), __d=False, __e=True), __b=31, __c=19, __d=NT_0000_P_00002()), __d=False, __e=False), __b=34, __c=28, __d=NT_0000_P_00001(__a=NT_0000_P_00002(), __b=12, __c=66, __d=NT_0000_P_00002())), __b=33, __c=78, __d=NT_0000_P_00001(__a=NT_0000_P_00003(__a=True, __b=True), __b=53, __c=11, __d=NT_0000_P_00000(__a=True, __b=41, __c=NT_0000_P_00001(__a=NT_0000_P_00002(), __b=66, __c=41, __d=NT_0000_P_00001(__a=NT_0000_P_00000(__a=False, __b=78, __c=NT_0000_P_00003(__a=True, __b=False), __d=False, __e=True), __b=84, __c=68, __d=NT_0000_P_00000(__a=False, __b=94, __c=NT_0000_P_00002(), __d=True, __e=False))), __d=False, __e=False)))))"
1.0,10,30,10,3.9576826095581055,50124,"NT_0008_P_00004(__a=NT_0008_P_00002(__a=NT_0003_P_00000(__a=NT_0003_P_00001()), __b=NT_0008_P_00003(__a=NT_0002_P_00002(__a=NT_0000_P_00002())), __c=NT_0008_P_00002(__a=NT_0003_P_00002(), __b=NT_0008_P_00003(__a=NT_0002_P_00000(__a=16, __b=NT_0000_P_00000(__a=True, __b=74, __c=NT_0000_P_00000(__a=True, __b=88, __c=NT_0000_P_00002(), __d=False, __e=False), __d=False, __e=True))), __c=NT_0008_P_00001(__a=NT_0004_P_00003(__a=NT_0002_P_00003(__a=NT_0001_P_00000(__a=NT_0000_P_00003(__a=False, __b=True), __b=NT_0001_P_00001(__a=87, __b=True, __c=61, __d=NT_0000_P_00002()), __c=63, __d=79, __e=54), __b=63, __c=NT_0001_P_00001(__a=27, __b=False, __c=27, __d=NT_0000_P_00003(__a=True, __b=True))), __b=NT_0002_P_00000(__a=45, __b=NT_0000_P_00002())), __b=NT_0000_P_00000(__a=False, __b=13, __c=NT_0000_P_00001(__a=NT_0000_P_00000(__a=True, __b=8, __c=NT_0000_P_00001(__a=NT_0000_P_00001(__a=NT_0000_P_00002(), __b=20, __c=77, __d=NT_0000_P_00003(__a=False, __b=True)), __b=46, __c=86, __d=NT_0000_P_00002()), __d=True, __e=False), __b=17, __c=41, __d=NT_0000_P_00000(__a=False, __b=65, __c=NT_0000_P_00001(__a=NT_0000_P_00000(__a=False, __b=51, __c=NT_0000_P_00002(), __d=False, __e=True), __b=71, __c=18, __d=NT_0000_P_00001(__a=NT_0000_P_00003(__a=True, __b=False), __b=8, __c=79, __d=NT_0000_P_00002())), __d=True, __e=True)), __d=True, __e=True)))))"
