Fitness,Depth,Nodes,Generations,time_since_the_start_of_the_evolution,seed,genotype_as_str
2.0,9,220,1,1.5842475891113281,50658,"Genotype(dna=[16353, 59730, 34206, 59290, 65724, 4869, 10202, 18294, 89570, 69966, 38750, 18188, 46180, 87758, 41279, 49180, 4444, 44264, 95900, 73792, 85067, 39609, 16546, 66586, 87668, 9829, 95055, 89927, 7990, 52427, 96299, 42267, 98490, 89920, 37299, 93080, 66241, 45486, 2932, 97952, 96438, 97587, 18597, 86593, 42233, 60632, 47592, 49223, 17989, 74366, 83860, 88007, 10439, 90775, 84829, 55743, 79927, 17297, 81854, 96988, 19405, 96975, 19851, 9966, 6880, 30001, 27570, 60453, 58778, 4215, 32348, 45714, 28364, 9191, 34258, 46874, 63680, 81711, 74896, 73971, 53444, 97657, 68854, 69137, 40221, 86003, 30756, 94249, 41019, 61491, 64546, 88530, 24932, 14541, 58724, 1315, 5602, 74730, 56113, 48735, 94239, 94208, 52390, 8539, 58180, 85110, 18247, 55459, 63502, 65975, 97184, 41790, 34011, 65693, 71179, 46298, 31003, 73945, 65244, 55056, 5143, 56344, 1386, 38254, 1549, 14926, 36438, 36697, 34870, 7857, 14181, 7816, 59400, 31884, 7391, 43269, 64882, 60928, 77338, 44882, 61211, 56611, 6926, 12788, 73001, 93546, 84250, 34501, 94104, 11376, 87335, 62647, 56946, 75039, 90729, 22226, 59168, 30482, 40615, 1412, 91063, 80729, 85489, 53110, 72137, 251, 50357, 48129, 33313, 56059, 41134, 4688, 48304, 52498, 39609, 46128, 42998, 99276, 13146, 66215, 13256, 14990, 72884, 14574, 47657, 50854, 17350, 77654, 54903, 25414, 25537, 25315, 53711, 66655, 13436, 26423, 1777, 52239, 72564, 4932, 25104, 31603, 40217, 11946, 55767, 77850, 55297, 59533, 66952, 35006, 46912, 64055, 92742, 88203, 70558, 45675, 84536, 42310, 80675, 70764, 66677, 17242, 48800, 13384, 7817, 30825, 76011, 93595, 65750, 18430, 92229, 14167, 9859, 85169, 94491, 53786, 50821, 17759, 36484, 24019, 15004, 8615, 58438, 99394, 86026, 85890, 26683, 26879, 45586, 68680, 9801, 16817, 17990, 3973, 7066, 27110])"
2.0,9,220,2,2.361427068710327,50658,"Genotype(dna=[16353, 59730, 34206, 59290, 65724, 4869, 10202, 18294, 89570, 69966, 38750, 18188, 46180, 87758, 41279, 49180, 4444, 44264, 95900, 73792, 85067, 39609, 16546, 66586, 87668, 9829, 95055, 89927, 7990, 52427, 96299, 42267, 98490, 89920, 37299, 93080, 66241, 45486, 2932, 97952, 96438, 97587, 18597, 86593, 42233, 60632, 47592, 49223, 17989, 74366, 83860, 88007, 10439, 90775, 84829, 55743, 79927, 17297, 81854, 96988, 19405, 96975, 19851, 9966, 6880, 30001, 27570, 60453, 58778, 4215, 32348, 45714, 28364, 9191, 34258, 46874, 63680, 81711, 74896, 73971, 53444, 97657, 68854, 69137, 40221, 86003, 30756, 94249, 41019, 61491, 64546, 88530, 24932, 14541, 58724, 1315, 5602, 74730, 56113, 48735, 94239, 94208, 52390, 8539, 58180, 85110, 18247, 55459, 63502, 65975, 97184, 41790, 34011, 65693, 71179, 46298, 31003, 73945, 65244, 55056, 5143, 56344, 1386, 38254, 1549, 14926, 36438, 36697, 34870, 7857, 14181, 7816, 59400, 31884, 7391, 43269, 64882, 60928, 77338, 44882, 61211, 56611, 6926, 12788, 73001, 93546, 84250, 34501, 94104, 11376, 87335, 62647, 56946, 75039, 90729, 22226, 59168, 30482, 40615, 1412, 91063, 80729, 85489, 53110, 72137, 251, 50357, 48129, 33313, 56059, 41134, 4688, 48304, 52498, 39609, 46128, 42998, 99276, 13146, 66215, 13256, 14990, 72884, 14574, 47657, 50854, 17350, 77654, 54903, 25414, 25537, 25315, 53711, 66655, 13436, 26423, 1777, 52239, 72564, 4932, 25104, 31603, 40217, 11946, 55767, 77850, 55297, 59533, 66952, 35006, 46912, 64055, 92742, 88203, 70558, 45675, 84536, 42310, 80675, 70764, 66677, 17242, 48800, 13384, 7817, 30825, 76011, 93595, 65750, 18430, 92229, 14167, 9859, 85169, 94491, 53786, 50821, 17759, 36484, 24019, 15004, 8615, 58438, 99394, 86026, 85890, 26683, 26879, 45586, 68680, 9801, 16817, 17990, 3973, 7066, 27110])"
2.0,9,220,3,3.0342049598693848,50658,"Genotype(dna=[16353, 59730, 34206, 59290, 65724, 4869, 10202, 18294, 89570, 69966, 38750, 18188, 46180, 87758, 41279, 49180, 4444, 44264, 95900, 73792, 85067, 39609, 16546, 66586, 87668, 9829, 95055, 89927, 7990, 52427, 96299, 42267, 98490, 89920, 37299, 93080, 66241, 45486, 2932, 97952, 96438, 97587, 18597, 86593, 42233, 60632, 47592, 49223, 17989, 74366, 83860, 88007, 10439, 90775, 84829, 55743, 79927, 17297, 81854, 96988, 19405, 96975, 19851, 9966, 6880, 30001, 27570, 60453, 58778, 4215, 32348, 45714, 28364, 9191, 34258, 46874, 63680, 81711, 74896, 73971, 53444, 97657, 68854, 69137, 40221, 86003, 30756, 94249, 41019, 61491, 64546, 88530, 24932, 14541, 58724, 1315, 5602, 74730, 56113, 48735, 94239, 94208, 52390, 8539, 58180, 85110, 18247, 55459, 63502, 65975, 97184, 41790, 34011, 65693, 71179, 46298, 31003, 73945, 65244, 55056, 5143, 56344, 1386, 38254, 1549, 14926, 36438, 36697, 34870, 7857, 14181, 7816, 59400, 31884, 7391, 43269, 64882, 60928, 77338, 44882, 61211, 56611, 6926, 12788, 73001, 93546, 84250, 34501, 94104, 11376, 87335, 62647, 56946, 75039, 90729, 22226, 59168, 30482, 40615, 1412, 91063, 80729, 85489, 53110, 72137, 251, 50357, 48129, 33313, 56059, 41134, 4688, 48304, 52498, 39609, 46128, 42998, 99276, 13146, 66215, 13256, 14990, 72884, 14574, 47657, 50854, 17350, 77654, 54903, 25414, 25537, 25315, 53711, 66655, 13436, 26423, 1777, 52239, 72564, 4932, 25104, 31603, 40217, 11946, 55767, 77850, 55297, 59533, 66952, 35006, 46912, 64055, 92742, 88203, 70558, 45675, 84536, 42310, 80675, 70764, 66677, 17242, 48800, 13384, 7817, 30825, 76011, 93595, 65750, 18430, 92229, 14167, 9859, 85169, 94491, 53786, 50821, 17759, 36484, 24019, 15004, 8615, 58438, 99394, 86026, 85890, 26683, 26879, 45586, 68680, 9801, 16817, 17990, 3973, 7066, 27110])"
1.0,9,221,4,3.601789951324463,50658,"Genotype(dna=[16353, 59730, 34206, 59290, 65724, 4869, 10202, 18294, 89570, 69966, 38750, 18188, 46180, 87758, 41279, 49180, 4444, 44264, 95900, 73792, 85067, 39609, 16546, 66586, 87668, 9829, 95055, 89927, 7990, 52427, 96299, 42267, 98490, 89920, 37299, 93080, 66241, 45486, 2932, 97952, 96438, 97587, 18597, 86593, 42233, 60632, 47592, 49223, 17989, 74366, 83860, 88007, 10439, 90775, 84829, 55743, 79927, 17297, 81854, 93997, 19405, 96975, 19851, 9966, 6880, 30001, 27570, 60453, 58778, 4215, 32348, 45714, 37586, 9191, 34258, 46874, 63680, 81711, 74896, 73971, 53444, 97657, 68854, 69137, 54201, 86003, 30756, 94249, 41019, 61491, 64546, 88530, 24932, 14541, 58724, 1315, 5602, 74730, 56113, 48735, 94239, 94208, 52390, 8539, 58180, 85110, 18247, 79037, 63502, 65975, 97184, 41790, 34011, 65693, 958, 46298, 90531, 73945, 65244, 55056, 5143, 56344, 1386, 38254, 1549, 14926, 96677, 36697, 34870, 7857, 14181, 13402, 89384, 31884, 7391, 86179, 64882, 60928, 77338, 44882, 61211, 56611, 6926, 12788, 73001, 93546, 84250, 34501, 94104, 11376, 87335, 62647, 56946, 75039, 90729, 22226, 59168, 35576, 40615, 1412, 91063, 80729, 85489, 53110, 72137, 251, 50357, 48129, 33313, 56059, 41134, 4688, 48304, 52498, 39609, 46128, 42998, 21460, 13146, 66215, 13256, 14990, 72884, 14574, 47657, 73971, 17350, 77654, 14460, 25414, 81115, 44934, 169, 76977, 6041, 7572, 47737, 71665, 37787, 84227, 28864, 45262, 28399, 5007, 47673, 72129, 3936, 91141, 88600, 84836, 77307, 12227, 33574, 87530, 70986, 81807, 57137, 85796, 24437, 7057, 29455, 65254, 26794, 98280, 92611, 1856, 90691, 98737, 62558, 23475, 5158, 26458, 65205, 35953, 52486, 87682, 61768, 70370, 70498, 53977, 53355, 50207, 35301, 95346, 46003, 5480, 28283, 60936, 1622, 68713, 37474, 16274, 77209, 49979, 5207, 73248])"
1.0,9,221,5,4.019928693771362,50658,"Genotype(dna=[16353, 59730, 34206, 59290, 65724, 4869, 10202, 18294, 89570, 69966, 38750, 18188, 46180, 87758, 41279, 49180, 4444, 44264, 95900, 73792, 85067, 39609, 16546, 66586, 87668, 9829, 95055, 89927, 7990, 52427, 96299, 42267, 98490, 89920, 37299, 93080, 66241, 45486, 2932, 97952, 96438, 97587, 18597, 86593, 42233, 60632, 47592, 49223, 17989, 74366, 83860, 88007, 10439, 90775, 84829, 55743, 79927, 17297, 81854, 93997, 19405, 96975, 19851, 9966, 6880, 30001, 27570, 60453, 58778, 4215, 32348, 45714, 37586, 9191, 34258, 46874, 63680, 81711, 74896, 73971, 53444, 97657, 68854, 69137, 54201, 86003, 30756, 94249, 41019, 61491, 64546, 88530, 24932, 14541, 58724, 1315, 5602, 74730, 56113, 48735, 94239, 94208, 52390, 8539, 58180, 85110, 18247, 79037, 63502, 65975, 97184, 41790, 34011, 65693, 958, 46298, 90531, 73945, 65244, 55056, 5143, 56344, 1386, 38254, 1549, 14926, 96677, 36697, 34870, 7857, 14181, 13402, 89384, 31884, 7391, 86179, 64882, 60928, 77338, 44882, 61211, 56611, 6926, 12788, 73001, 93546, 84250, 34501, 94104, 11376, 87335, 62647, 56946, 75039, 90729, 22226, 59168, 35576, 40615, 1412, 91063, 80729, 85489, 53110, 72137, 251, 50357, 48129, 33313, 56059, 41134, 4688, 48304, 52498, 39609, 46128, 42998, 21460, 13146, 66215, 13256, 14990, 72884, 14574, 47657, 73971, 17350, 77654, 14460, 25414, 81115, 44934, 169, 76977, 6041, 7572, 47737, 71665, 37787, 84227, 28864, 45262, 28399, 5007, 47673, 72129, 3936, 91141, 88600, 84836, 77307, 12227, 33574, 87530, 70986, 81807, 57137, 85796, 24437, 7057, 29455, 65254, 26794, 98280, 92611, 1856, 90691, 98737, 62558, 23475, 5158, 26458, 65205, 35953, 52486, 87682, 61768, 70370, 70498, 53977, 53355, 50207, 35301, 95346, 46003, 5480, 28283, 60936, 1622, 68713, 37474, 16274, 77209, 49979, 5207, 73248])"
1.0,9,225,6,4.393199920654297,50658,"Genotype(dna=[24734, 64922, 99766, 20334, 2677, 25067, 41095, 69477, 94089, 28419, 55773, 75116, 40869, 36024, 75843, 30284, 34795, 59410, 5057, 45919, 8255, 32639, 759, 82729, 63429, 89247, 66322, 27769, 84121, 25087, 16453, 40194, 29428, 32847, 89060, 9422, 1179, 22674, 15495, 67052, 17463, 78647, 51629, 23386, 56071, 15128, 31472, 5610, 94008, 7411, 82182, 5329, 48914, 74400, 79014, 2939, 55782, 42936, 68867, 56675, 32752, 17784, 70165, 67925, 58675, 39305, 44060, 41476, 40643, 84229, 36220, 46307, 83707, 46595, 48512, 93304, 60732, 77325, 32688, 3428, 20422, 75956, 20592, 30939, 2882, 67454, 13090, 34471, 5190, 24589, 94064, 49656, 90878, 72379, 59997, 81218, 92209, 70725, 98044, 92907, 19759, 71703, 53256, 92338, 37784, 5458, 84515, 90929, 29227, 69331, 63674, 81893, 1179, 39108, 41356, 43653, 68853, 15002, 79705, 72667, 91884, 23252, 13336, 31794, 87792, 78607, 65979, 69864, 46329, 3682, 69279, 68725, 60540, 16438, 38018, 31913, 53415, 32795, 5166, 24461, 30397, 8059, 69972, 93333, 94227, 67602, 36160, 34971, 36107, 79252, 36748, 49242, 76566, 77699, 2528, 97440, 96216, 76515, 55965, 50377, 77913, 54881, 27728, 17210, 38794, 18951, 3686, 38599, 88631, 59660, 6845, 62430, 26217, 24426, 82472, 54438, 21231, 63184, 72830, 2185, 70500, 58692, 35229, 80582, 12971, 58737, 82840, 66875, 38905, 72356, 78967, 57721, 42504, 47851, 92014, 22864, 90102, 24261, 50616, 57718, 51022, 53705, 64838, 33664, 15971, 19239, 84089, 77000, 4379, 63771, 3883, 39095, 29091, 37749, 702, 99949, 29484, 29167, 65124, 1166, 9420, 81521, 60999, 38803, 59552, 49091, 87672, 19688, 54915, 92607, 451, 62620, 7566, 88668, 69285, 86363, 69782, 92284, 46618, 48926, 18084, 55790, 67539, 26788, 99734, 99794, 27538, 91568, 39715, 28379, 56029, 48749, 35512, 95760, 48050, 28271])"
1.0,9,225,7,4.9917778968811035,50658,"Genotype(dna=[24734, 64922, 99766, 20334, 2677, 25067, 41095, 69477, 94089, 28419, 55773, 75116, 40869, 36024, 75843, 30284, 34795, 59410, 5057, 45919, 8255, 32639, 759, 82729, 63429, 89247, 66322, 27769, 84121, 25087, 16453, 40194, 29428, 32847, 89060, 9422, 1179, 22674, 15495, 67052, 17463, 78647, 51629, 23386, 56071, 15128, 31472, 5610, 94008, 7411, 82182, 5329, 48914, 74400, 79014, 2939, 55782, 42936, 68867, 56675, 32752, 17784, 70165, 67925, 58675, 39305, 44060, 41476, 40643, 84229, 36220, 46307, 83707, 46595, 48512, 93304, 60732, 77325, 32688, 3428, 20422, 75956, 20592, 30939, 2882, 67454, 13090, 34471, 5190, 24589, 94064, 49656, 90878, 72379, 59997, 81218, 92209, 70725, 98044, 92907, 19759, 71703, 53256, 92338, 37784, 5458, 84515, 90929, 29227, 69331, 63674, 81893, 1179, 39108, 41356, 43653, 68853, 15002, 79705, 72667, 91884, 23252, 13336, 31794, 87792, 78607, 65979, 69864, 46329, 3682, 69279, 68725, 60540, 16438, 38018, 31913, 53415, 32795, 5166, 24461, 30397, 8059, 69972, 93333, 94227, 67602, 36160, 34971, 36107, 79252, 36748, 49242, 76566, 77699, 2528, 97440, 96216, 76515, 55965, 50377, 77913, 54881, 27728, 17210, 38794, 18951, 3686, 38599, 88631, 59660, 6845, 62430, 26217, 24426, 82472, 54438, 21231, 63184, 72830, 2185, 70500, 58692, 35229, 80582, 12971, 58737, 82840, 66875, 38905, 72356, 78967, 57721, 42504, 47851, 92014, 22864, 90102, 24261, 50616, 57718, 51022, 53705, 64838, 33664, 15971, 19239, 84089, 77000, 4379, 63771, 3883, 39095, 29091, 37749, 702, 99949, 29484, 29167, 65124, 1166, 9420, 81521, 60999, 38803, 59552, 49091, 87672, 19688, 54915, 92607, 451, 62620, 7566, 88668, 69285, 86363, 69782, 92284, 46618, 48926, 18084, 55790, 67539, 26788, 99734, 99794, 27538, 91568, 39715, 28379, 56029, 48749, 35512, 95760, 48050, 28271])"
1.0,9,225,8,5.407273769378662,50658,"Genotype(dna=[24734, 64922, 99766, 20334, 2677, 25067, 41095, 69477, 94089, 28419, 55773, 75116, 40869, 36024, 75843, 30284, 34795, 59410, 5057, 45919, 8255, 32639, 759, 82729, 63429, 89247, 66322, 27769, 84121, 25087, 16453, 40194, 29428, 32847, 89060, 9422, 1179, 22674, 15495, 67052, 17463, 78647, 51629, 23386, 56071, 15128, 31472, 5610, 94008, 7411, 82182, 5329, 48914, 74400, 79014, 2939, 55782, 42936, 68867, 56675, 32752, 17784, 70165, 67925, 58675, 39305, 44060, 41476, 40643, 84229, 36220, 46307, 83707, 46595, 48512, 93304, 60732, 77325, 32688, 3428, 20422, 75956, 20592, 30939, 2882, 67454, 13090, 34471, 5190, 24589, 94064, 49656, 90878, 72379, 59997, 81218, 92209, 70725, 98044, 92907, 19759, 71703, 53256, 92338, 37784, 5458, 84515, 90929, 29227, 69331, 63674, 81893, 1179, 39108, 41356, 43653, 68853, 15002, 79705, 72667, 91884, 23252, 13336, 31794, 87792, 78607, 65979, 69864, 46329, 3682, 69279, 68725, 60540, 16438, 38018, 31913, 53415, 32795, 5166, 24461, 30397, 8059, 69972, 93333, 94227, 67602, 36160, 34971, 36107, 79252, 36748, 49242, 76566, 77699, 2528, 97440, 96216, 76515, 55965, 50377, 77913, 54881, 27728, 17210, 38794, 18951, 3686, 38599, 88631, 59660, 6845, 62430, 26217, 24426, 82472, 54438, 21231, 63184, 72830, 2185, 70500, 58692, 35229, 80582, 12971, 58737, 82840, 66875, 38905, 72356, 78967, 57721, 42504, 47851, 92014, 22864, 90102, 24261, 50616, 57718, 51022, 53705, 64838, 33664, 15971, 19239, 84089, 77000, 4379, 63771, 3883, 39095, 29091, 37749, 702, 99949, 29484, 29167, 65124, 1166, 9420, 81521, 60999, 38803, 59552, 49091, 87672, 19688, 54915, 92607, 451, 62620, 7566, 88668, 69285, 86363, 69782, 92284, 46618, 48926, 18084, 55790, 67539, 26788, 99734, 99794, 27538, 91568, 39715, 28379, 56029, 48749, 35512, 95760, 48050, 28271])"
1.0,9,225,9,5.816150903701782,50658,"Genotype(dna=[24734, 64922, 99766, 20334, 2677, 25067, 41095, 69477, 94089, 28419, 55773, 75116, 40869, 36024, 75843, 30284, 34795, 59410, 5057, 45919, 8255, 32639, 759, 82729, 63429, 89247, 66322, 27769, 84121, 25087, 16453, 40194, 29428, 32847, 89060, 9422, 1179, 22674, 15495, 67052, 17463, 78647, 51629, 23386, 56071, 15128, 31472, 5610, 94008, 7411, 82182, 5329, 48914, 74400, 79014, 2939, 55782, 42936, 68867, 56675, 32752, 17784, 70165, 67925, 58675, 39305, 44060, 41476, 40643, 84229, 36220, 46307, 83707, 46595, 48512, 93304, 60732, 77325, 32688, 3428, 20422, 75956, 20592, 30939, 2882, 67454, 13090, 34471, 5190, 24589, 94064, 49656, 90878, 72379, 59997, 81218, 92209, 70725, 98044, 92907, 19759, 71703, 53256, 92338, 37784, 5458, 84515, 90929, 29227, 69331, 63674, 81893, 1179, 39108, 41356, 43653, 68853, 15002, 79705, 72667, 91884, 23252, 13336, 31794, 87792, 78607, 65979, 69864, 46329, 3682, 69279, 68725, 60540, 16438, 38018, 31913, 53415, 32795, 5166, 24461, 30397, 8059, 69972, 93333, 94227, 67602, 36160, 34971, 36107, 79252, 36748, 49242, 76566, 77699, 2528, 97440, 96216, 76515, 55965, 50377, 77913, 54881, 27728, 17210, 38794, 18951, 3686, 38599, 88631, 59660, 6845, 62430, 26217, 24426, 82472, 54438, 21231, 63184, 72830, 2185, 70500, 58692, 35229, 80582, 12971, 58737, 82840, 66875, 38905, 72356, 78967, 57721, 42504, 47851, 92014, 22864, 90102, 24261, 50616, 57718, 51022, 53705, 64838, 33664, 15971, 19239, 84089, 77000, 4379, 63771, 3883, 39095, 29091, 37749, 702, 99949, 29484, 29167, 65124, 1166, 9420, 81521, 60999, 38803, 59552, 49091, 87672, 19688, 54915, 92607, 451, 62620, 7566, 88668, 69285, 86363, 69782, 92284, 46618, 48926, 18084, 55790, 67539, 26788, 99734, 99794, 27538, 91568, 39715, 28379, 56029, 48749, 35512, 95760, 48050, 28271])"
1.0,9,225,10,6.2270612716674805,50658,"Genotype(dna=[24734, 64922, 99766, 20334, 2677, 25067, 41095, 69477, 94089, 28419, 55773, 75116, 40869, 36024, 75843, 30284, 34795, 59410, 5057, 45919, 8255, 32639, 759, 82729, 63429, 89247, 66322, 27769, 84121, 25087, 16453, 40194, 29428, 32847, 89060, 9422, 1179, 22674, 15495, 67052, 17463, 78647, 51629, 23386, 56071, 15128, 31472, 5610, 94008, 7411, 82182, 5329, 48914, 74400, 79014, 2939, 55782, 42936, 68867, 56675, 32752, 17784, 70165, 67925, 58675, 39305, 44060, 41476, 40643, 84229, 36220, 46307, 83707, 46595, 48512, 93304, 60732, 77325, 32688, 3428, 20422, 75956, 20592, 30939, 2882, 67454, 13090, 34471, 5190, 24589, 94064, 49656, 90878, 72379, 59997, 81218, 92209, 70725, 98044, 92907, 19759, 71703, 53256, 92338, 37784, 5458, 84515, 90929, 29227, 69331, 63674, 81893, 1179, 39108, 41356, 43653, 68853, 15002, 79705, 72667, 91884, 23252, 13336, 31794, 87792, 78607, 65979, 69864, 46329, 3682, 69279, 68725, 60540, 16438, 38018, 31913, 53415, 32795, 5166, 24461, 30397, 8059, 69972, 93333, 94227, 67602, 36160, 34971, 36107, 79252, 36748, 49242, 76566, 77699, 2528, 97440, 96216, 76515, 55965, 50377, 77913, 54881, 27728, 17210, 38794, 18951, 3686, 38599, 88631, 59660, 6845, 62430, 26217, 24426, 82472, 54438, 21231, 63184, 72830, 2185, 70500, 58692, 35229, 80582, 12971, 58737, 82840, 66875, 38905, 72356, 78967, 57721, 42504, 47851, 92014, 22864, 90102, 24261, 50616, 57718, 51022, 53705, 64838, 33664, 15971, 19239, 84089, 77000, 4379, 63771, 3883, 39095, 29091, 37749, 702, 99949, 29484, 29167, 65124, 1166, 9420, 81521, 60999, 38803, 59552, 49091, 87672, 19688, 54915, 92607, 451, 62620, 7566, 88668, 69285, 86363, 69782, 92284, 46618, 48926, 18084, 55790, 67539, 26788, 99734, 99794, 27538, 91568, 39715, 28379, 56029, 48749, 35512, 95760, 48050, 28271])"
