Fitness,Depth,Nodes,Generations,time_since_the_start_of_the_evolution,seed,genotype_as_str
147.0,10,21,1,0.5799996852874756,827,"NT_0013_P_00000(__a=NT_0006_P_00001(__a=77, __b=NT_0003_P_00000(__a=False)), __b=NT_0009_P_00001(__a=77, __b=NT_0007_P_00000(__a=60, __b=79, __c=NT_0000_P_00001(__a=True, __b=63, __c=True, __d=False)), __c=NT_0000_P_00001(__a=True, __b=81, __c=True, __d=True)), __c=NT_0002_P_00000(__a=29, __b=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00001(__a=False, __b=0, __c=True, __d=True), __b=89), __b=5), __b=79), __b=71), __b=27), __b=43), __b=41)), __d=NT_0005_P_00001(__a=69, __b=NT_0003_P_00000(__a=True), __c=NT_0002_P_00000(__a=34, __b=NT_0000_P_00000(__a=NT_0000_P_00001(__a=False, __b=49, __c=True, __d=False), __b=31)), __d=59, __e=False, __f=13, __g=95), __e=42)"
147.0,10,21,2,1.2220432758331299,827,"NT_0013_P_00000(__a=NT_0006_P_00001(__a=77, __b=NT_0003_P_00000(__a=False)), __b=NT_0009_P_00001(__a=77, __b=NT_0007_P_00000(__a=60, __b=79, __c=NT_0000_P_00001(__a=True, __b=63, __c=True, __d=False)), __c=NT_0000_P_00001(__a=True, __b=81, __c=True, __d=True)), __c=NT_0002_P_00000(__a=29, __b=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00001(__a=False, __b=0, __c=True, __d=True), __b=89), __b=5), __b=79), __b=71), __b=27), __b=43), __b=41)), __d=NT_0005_P_00001(__a=69, __b=NT_0003_P_00000(__a=True), __c=NT_0002_P_00000(__a=34, __b=NT_0000_P_00000(__a=NT_0000_P_00001(__a=False, __b=49, __c=True, __d=False), __b=31)), __d=59, __e=False, __f=13, __g=95), __e=42)"
138.0,10,21,3,1.5403401851654053,827,"NT_0013_P_00000(__a=NT_0006_P_00001(__a=77, __b=NT_0003_P_00000(__a=False)), __b=NT_0009_P_00001(__a=77, __b=NT_0007_P_00000(__a=60, __b=79, __c=NT_0000_P_00001(__a=True, __b=63, __c=True, __d=False)), __c=NT_0000_P_00001(__a=True, __b=81, __c=True, __d=True)), __c=NT_0002_P_00000(__a=29, __b=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00001(__a=False, __b=0, __c=True, __d=True), __b=89), __b=5), __b=79), __b=71), __b=27), __b=43), __b=41)), __d=NT_0005_P_00001(__a=69, __b=NT_0003_P_00000(__a=False), __c=NT_0002_P_00000(__a=34, __b=NT_0000_P_00000(__a=NT_0000_P_00001(__a=False, __b=49, __c=True, __d=False), __b=31)), __d=59, __e=False, __f=13, __g=95), __e=42)"
128.0,10,21,4,1.9764339923858643,827,"NT_0013_P_00000(__a=NT_0006_P_00001(__a=77, __b=NT_0003_P_00000(__a=False)), __b=NT_0009_P_00001(__a=77, __b=NT_0007_P_00000(__a=60, __b=79, __c=NT_0000_P_00001(__a=True, __b=63, __c=True, __d=False)), __c=NT_0000_P_00001(__a=True, __b=81, __c=True, __d=True)), __c=NT_0002_P_00000(__a=29, __b=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00001(__a=False, __b=49, __c=True, __d=False), __b=89), __b=5), __b=79), __b=71), __b=27), __b=43), __b=41)), __d=NT_0005_P_00001(__a=69, __b=NT_0003_P_00000(__a=False), __c=NT_0002_P_00000(__a=34, __b=NT_0000_P_00000(__a=NT_0000_P_00001(__a=False, __b=49, __c=True, __d=False), __b=31)), __d=59, __e=False, __f=13, __g=95), __e=42)"
126.0,10,21,5,2.426278829574585,827,"NT_0013_P_00000(__a=NT_0006_P_00001(__a=77, __b=NT_0003_P_00000(__a=False)), __b=NT_0009_P_00001(__a=77, __b=NT_0007_P_00000(__a=13, __b=80, __c=NT_0000_P_00001(__a=True, __b=63, __c=True, __d=False)), __c=NT_0000_P_00001(__a=True, __b=81, __c=True, __d=True)), __c=NT_0002_P_00000(__a=29, __b=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00001(__a=False, __b=16, __c=True, __d=False), __b=89), __b=5), __b=79), __b=71), __b=27), __b=43), __b=41)), __d=NT_0005_P_00001(__a=69, __b=NT_0003_P_00000(__a=True), __c=NT_0002_P_00000(__a=34, __b=NT_0000_P_00000(__a=NT_0000_P_00001(__a=False, __b=49, __c=True, __d=False), __b=31)), __d=59, __e=False, __f=13, __g=95), __e=42)"
126.0,10,21,6,2.7995219230651855,827,"NT_0013_P_00000(__a=NT_0006_P_00001(__a=77, __b=NT_0003_P_00000(__a=False)), __b=NT_0009_P_00001(__a=77, __b=NT_0007_P_00000(__a=13, __b=80, __c=NT_0000_P_00001(__a=True, __b=63, __c=True, __d=False)), __c=NT_0000_P_00001(__a=True, __b=81, __c=True, __d=True)), __c=NT_0002_P_00000(__a=29, __b=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00001(__a=False, __b=16, __c=True, __d=False), __b=89), __b=5), __b=79), __b=71), __b=27), __b=43), __b=41)), __d=NT_0005_P_00001(__a=69, __b=NT_0003_P_00000(__a=True), __c=NT_0002_P_00000(__a=34, __b=NT_0000_P_00000(__a=NT_0000_P_00001(__a=False, __b=49, __c=True, __d=False), __b=31)), __d=59, __e=False, __f=13, __g=95), __e=42)"
126.0,10,21,7,2.955477237701416,827,"NT_0013_P_00000(__a=NT_0006_P_00001(__a=77, __b=NT_0003_P_00000(__a=False)), __b=NT_0009_P_00001(__a=77, __b=NT_0007_P_00000(__a=13, __b=80, __c=NT_0000_P_00001(__a=True, __b=63, __c=True, __d=False)), __c=NT_0000_P_00001(__a=True, __b=81, __c=True, __d=True)), __c=NT_0002_P_00000(__a=29, __b=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00001(__a=False, __b=16, __c=True, __d=False), __b=89), __b=5), __b=79), __b=71), __b=27), __b=43), __b=41)), __d=NT_0005_P_00001(__a=69, __b=NT_0003_P_00000(__a=True), __c=NT_0002_P_00000(__a=34, __b=NT_0000_P_00000(__a=NT_0000_P_00001(__a=False, __b=49, __c=True, __d=False), __b=31)), __d=59, __e=False, __f=13, __g=95), __e=42)"
126.0,10,21,8,3.1248562335968018,827,"NT_0013_P_00000(__a=NT_0006_P_00001(__a=77, __b=NT_0003_P_00000(__a=False)), __b=NT_0009_P_00001(__a=77, __b=NT_0007_P_00000(__a=13, __b=80, __c=NT_0000_P_00001(__a=True, __b=63, __c=True, __d=False)), __c=NT_0000_P_00001(__a=True, __b=81, __c=True, __d=True)), __c=NT_0002_P_00000(__a=29, __b=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00001(__a=False, __b=16, __c=True, __d=False), __b=89), __b=5), __b=79), __b=71), __b=27), __b=43), __b=41)), __d=NT_0005_P_00001(__a=69, __b=NT_0003_P_00000(__a=True), __c=NT_0002_P_00000(__a=34, __b=NT_0000_P_00000(__a=NT_0000_P_00001(__a=False, __b=49, __c=True, __d=False), __b=31)), __d=59, __e=False, __f=13, __g=95), __e=42)"
126.0,10,21,9,3.3013808727264404,827,"NT_0013_P_00000(__a=NT_0006_P_00001(__a=77, __b=NT_0003_P_00000(__a=False)), __b=NT_0009_P_00001(__a=77, __b=NT_0007_P_00000(__a=13, __b=80, __c=NT_0000_P_00001(__a=True, __b=63, __c=True, __d=False)), __c=NT_0000_P_00001(__a=True, __b=81, __c=True, __d=True)), __c=NT_0002_P_00000(__a=29, __b=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00001(__a=False, __b=16, __c=True, __d=False), __b=89), __b=5), __b=79), __b=71), __b=27), __b=43), __b=41)), __d=NT_0005_P_00001(__a=69, __b=NT_0003_P_00000(__a=True), __c=NT_0002_P_00000(__a=34, __b=NT_0000_P_00000(__a=NT_0000_P_00001(__a=False, __b=49, __c=True, __d=False), __b=31)), __d=59, __e=False, __f=13, __g=95), __e=42)"
126.0,10,21,10,3.446213960647583,827,"NT_0013_P_00000(__a=NT_0006_P_00001(__a=77, __b=NT_0003_P_00000(__a=False)), __b=NT_0009_P_00001(__a=77, __b=NT_0007_P_00000(__a=13, __b=80, __c=NT_0000_P_00001(__a=True, __b=63, __c=True, __d=False)), __c=NT_0000_P_00001(__a=True, __b=81, __c=True, __d=True)), __c=NT_0002_P_00000(__a=29, __b=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00000(__a=NT_0000_P_00001(__a=False, __b=16, __c=True, __d=False), __b=89), __b=5), __b=79), __b=71), __b=27), __b=43), __b=41)), __d=NT_0005_P_00001(__a=69, __b=NT_0003_P_00000(__a=True), __c=NT_0002_P_00000(__a=34, __b=NT_0000_P_00000(__a=NT_0000_P_00001(__a=False, __b=49, __c=True, __d=False), __b=31)), __d=59, __e=False, __f=13, __g=95), __e=42)"
